date,open,high,low,close,adj_close,volume
2020-07-27,13.645,14.065,13.63,14.02,12.33,63119
2020-07-28,13.855,13.9,13.48,13.53,11.9,19462
2020-07-29,13.57,14.035,13.57,13.975,12.29,114347
2020-07-30,13.635,13.635,13.325,13.505,11.88,32744
2020-07-31,13.405,13.485,13.305,13.455,11.84,55069
2020-08-03,13.265,13.955,13.265,13.69,12.04,84640
2020-08-04,14.94,15.86,14.94,15.535,13.66,376442
2020-08-05,15.875,16.665,15.875,16.305,14.34,209947
2020-08-06,16.295,16.365,15.86,16.145,14.2,139865
2020-08-07,16.055,17.215,16.015,17.175,15.11,171726
2020-08-10,17.56,18.54,17.54,18.405,16.19,189926
2020-08-11,18.86,18.89,17.61,17.62,15.5,155947
2020-08-12,18.04,18.13,17.375,17.455,15.35,250831
2020-08-13,17.18,17.685,17.075,17.455,15.35,407646
2020-08-14,17.39,18.07,17.215,17.835,15.69,136989
2020-08-17,18.13,18.33,17.755,17.855,15.71,86275
2020-08-18,17.89,18.445,17.84,18.27,16.07,137500
2020-08-19,18.04,18.39,17.89,17.925,15.77,86350
2020-08-20,17.47,17.875,17.41,17.815,15.67,52168
2020-08-21,17.52,17.695,17.405,17.48,15.38,105233
2020-08-24,17.75,18.665,17.75,18.49,16.26,114684
2020-08-25,18.68,18.68,18.055,18.34,16.13,96500
2020-08-26,18.245,18.625,18.225,18.455,16.23,100698
2020-08-27,18.52,18.57,18.265,18.425,16.21,67997
2020-08-28,18.405,19.015,18.285,18.905,16.63,101388
2020-08-31,18.88,18.88,18.245,18.255,16.06,54970
2020-09-01,18.15,18.66,18.0,18.66,16.41,86157
2020-09-02,18.41,18.9,18.325,18.9,16.67,195182
2020-09-03,18.905,19.01,18.255,18.49,16.31,49479
2020-09-04,18.7,18.78,18.165,18.515,16.33,80256
2020-09-08,17.89,17.9,17.235,17.485,15.42,112166
2020-09-09,17.635,18.085,17.485,17.975,15.85,77817
2020-09-10,18.09,18.195,17.675,17.75,15.66,67429
2020-09-11,17.81,18.425,17.71,18.295,16.14,124702
2020-09-14,18.425,18.43,17.88,18.125,15.99,129810
2020-09-15,18.09,18.275,17.81,18.03,15.9,295654
2020-09-16,18.05,18.415,17.77,18.095,15.96,73565
2020-09-17,17.885,19.415,17.865,19.26,16.99,227795
2020-09-18,19.27,20.025,19.08,19.25,16.98,190295
2020-09-21,18.74,18.74,17.24,17.805,15.7,168286
2020-09-22,17.755,18.115,17.56,18.055,15.92,131339
2020-09-23,18.36,19.27,18.155,18.285,16.13,228414
2020-09-24,18.195,19.165,17.735,18.81,16.59,163574
2020-09-25,18.645,18.675,18.07,18.595,16.4,164668
2020-09-28,19.05,19.26,18.455,18.455,16.28,109174
2020-09-29,18.335,18.6,17.915,17.995,15.87,60156
2020-09-30,18.145,18.63,18.08,18.285,16.13,146566
2020-10-01,18.32,18.445,17.715,17.8,15.7,116915
2020-10-02,17.375,18.575,17.34,18.3,16.14,118038
2020-10-05,18.57,19.45,18.47,19.28,17.0,114787
2020-10-06,19.41,19.71,18.775,18.86,16.63,107448
2020-10-07,19.205,19.86,19.205,19.74,17.41,153340
2020-10-08,19.87,20.2,19.295,19.7,17.37,194336
2020-10-09,19.845,20.05,19.395,19.705,17.38,90320
2020-10-12,19.7,19.73,19.24,19.34,17.06,61098
2020-10-13,19.31,19.435,18.935,19.285,17.01,176828
2020-10-14,19.495,19.76,19.24,19.315,17.04,139820
2020-10-15,18.985,19.585,18.76,19.47,17.17,127530
2020-10-16,19.62,19.65,19.135,19.14,16.88,50303
2020-10-19,19.19,19.44,18.98,19.06,16.81,147175
2020-10-20,19.26,19.38,18.72,18.875,16.65,132276
2020-10-21,18.6,19.19,18.55,18.9,16.67,144836
2020-10-22,18.68,18.75,18.275,18.705,16.5,146769
2020-10-23,18.905,19.165,18.66,18.68,16.48,315740
2020-10-26,18.4,18.605,17.98,18.14,16.0,130254
2020-10-27,18.05,18.64,18.05,18.35,16.18,104190
2020-10-28,17.875,18.295,17.78,18.055,15.92,112611
2020-10-29,17.955,18.545,17.89,18.31,16.15,273717
2020-10-30,18.175,18.525,17.9,18.495,16.31,329675
2020-11-02,18.675,19.595,18.495,19.53,17.23,226329
2020-11-03,17.955,18.04,16.54,17.195,15.17,468737
2020-11-04,17.36,17.365,16.03,16.765,14.79,240079
2020-11-05,16.9,17.315,16.76,17.155,15.13,210189
2020-11-06,17.31,17.585,16.68,16.875,14.88,195864
2020-11-09,17.77,18.455,17.0,17.005,15.0,405574
2020-11-10,17.175,17.745,16.88,17.62,15.54,164573
2020-11-11,17.685,17.84,17.48,17.65,15.57,264983
2020-11-12,17.485,17.725,17.095,17.365,15.32,242604
2020-11-13,17.62,18.07,17.6,18.015,15.89,81372
2020-11-16,18.56,18.805,18.19,18.765,16.55,115540
2020-11-17,18.48,19.0,18.27,18.965,16.73,161447
2020-11-18,19.0,19.77,18.83,19.205,16.94,173639
2020-11-19,18.96,19.605,18.73,19.58,17.27,96713
