date,open,high,low,close,adj_close,volume
2020-07-27,103.545,103.9,102.09,102.98,84.98,20029
2020-07-28,102.67,103.535,102.36,102.785,84.82,36705
2020-07-29,102.74,107.42,101.565,106.99,88.29,88449
2020-07-30,103.555,106.24,101.26,105.79,87.3,135058
2020-07-31,104.575,106.14,103.28,105.98,87.45,123305
2020-08-03,104.53,106.235,103.215,105.0,86.64,52949
2020-08-04,104.86,104.86,103.44,104.045,85.86,25657
2020-08-05,105.23,105.605,103.79,104.62,86.33,61032
2020-08-06,104.16,105.66,102.81,103.53,85.43,44928
2020-08-07,102.86,107.61,102.85,107.61,88.8,74075
2020-08-10,108.085,109.99,107.53,109.1,90.03,33168
2020-08-11,113.72,114.1,110.765,111.43,91.95,40473
2020-08-12,113.29,113.29,108.68,110.465,91.15,35741
2020-08-13,108.07,109.47,107.345,107.86,89.0,36020
2020-08-14,107.0,110.25,106.635,109.26,90.16,30618
2020-08-17,107.91,108.21,106.36,106.58,87.95,20242
2020-08-18,106.33,106.415,104.26,104.45,86.19,27292
2020-08-19,104.65,105.935,104.08,104.42,86.17,37606
2020-08-20,102.76,102.785,100.795,101.68,83.91,39700
2020-08-21,102.115,102.71,101.32,102.45,84.54,29861
2020-08-24,102.645,105.84,102.475,105.775,87.28,38044
2020-08-25,106.935,107.42,104.08,105.99,87.46,49632
2020-08-26,104.41,105.04,103.69,103.74,85.61,38459
2020-08-27,104.46,106.495,104.46,105.93,87.41,24688
2020-08-28,106.56,106.78,105.46,106.4,87.8,31398
2020-08-31,104.44,105.24,103.19,103.36,86.18,25246
2020-09-01,102.135,104.865,101.73,103.47,86.27,24482
2020-09-02,102.65,104.875,102.15,104.19,86.87,41312
2020-09-03,105.37,108.31,102.98,103.78,86.53,45242
2020-09-04,105.36,107.34,103.26,105.93,88.33,43355
2020-09-08,104.965,105.175,101.62,102.2,85.22,47594
2020-09-09,102.035,102.41,100.47,101.22,84.4,15898
2020-09-10,101.805,102.465,98.81,99.05,82.59,38642
2020-09-11,99.42,101.82,99.33,101.705,84.8,80429
2020-09-14,102.47,105.83,102.47,104.28,86.95,36843
2020-09-15,103.64,104.13,101.79,103.87,86.61,27350
2020-09-16,102.855,106.39,102.68,103.13,85.99,90466
2020-09-17,101.73,103.13,101.73,102.435,85.41,33363
2020-09-18,102.095,103.345,101.35,101.76,84.85,70663
2020-09-21,99.04,100.3,95.4,96.56,80.51,29337
2020-09-22,96.33,97.375,92.37,93.21,77.72,66202
2020-09-23,94.34,95.825,90.8,90.84,75.74,42969
2020-09-24,90.58,92.17,89.1,90.0,75.04,31781
2020-09-25,89.5,91.65,88.6,91.38,76.19,27777
2020-09-28,92.915,95.37,92.265,94.26,78.59,38451
2020-09-29,93.385,93.39,90.15,91.12,75.98,40751
2020-09-30,91.39,93.145,90.38,92.135,76.82,63664
