date,open,high,low,close,adj_close,volume
2020-07-27,428.9,436.07,428.9,433.89,86.78,27339
2020-07-28,435.01,442.26,431.12,434.76,86.95,35475
2020-07-29,443.0,446.375,438.08,445.76,89.15,93866
2020-07-30,432.59,438.0,421.35,431.29,86.26,131505
2020-07-31,435.495,438.99,429.24,438.99,87.8,61955
2020-08-03,443.895,444.45,432.37,440.18,88.04,111084
2020-08-04,440.66,442.285,434.2,437.81,87.56,39293
2020-08-05,440.355,440.84,435.465,435.72,87.14,55532
2020-08-06,437.92,438.8,425.75,430.0,86.0,268402
2020-08-07,431.01,439.22,423.88,431.2,86.24,177288
2020-08-10,431.0,439.13,422.495,438.78,87.76,221750
2020-08-11,432.37,433.89,419.065,421.27,84.25,49419
2020-08-12,424.08,431.12,423.63,427.09,85.42,66398
2020-08-13,427.72,439.72,427.145,438.765,87.75,38407
2020-08-14,438.295,441.72,434.395,435.68,87.14,28361
2020-08-17,437.64,445.03,437.64,442.48,88.5,49239
2020-08-18,442.545,444.36,435.8,437.36,87.47,73325
2020-08-19,439.26,443.555,432.57,437.27,87.45,49684
2020-08-20,435.785,454.67,434.11,453.4,90.68,78231
2020-08-21,452.29,453.51,447.0,449.66,89.93,38388
2020-08-24,453.94,458.48,445.07,447.36,89.47,55043
2020-08-25,449.0,458.76,446.92,457.97,91.59,43248
2020-08-26,468.535,488.41,467.57,487.93,97.59,60659
2020-08-27,484.92,484.92,474.73,482.285,96.46,52408
2020-08-28,485.06,493.5,484.69,488.12,97.62,33605
2020-08-31,488.705,488.87,481.03,482.6,96.52,78034
2020-09-01,485.4,496.58,484.605,496.58,99.32,94354
2020-09-02,500.34,501.82,483.46,499.6,99.92,71845
2020-09-03,484.5,486.27,463.26,468.62,93.72,123779
2020-09-04,465.0,470.0,435.34,450.145,90.03,168036
2020-09-08,436.585,452.28,433.25,442.75,88.55,105350
2020-09-09,452.7,462.78,443.07,458.475,91.7,102009
2020-09-10,463.99,467.915,451.37,453.02,90.6,62274
2020-09-11,456.535,457.505,440.26,445.95,89.19,38119
2020-09-14,453.71,462.205,451.7,458.04,91.61,20040
2020-09-15,464.095,474.1,463.29,474.1,94.82,43567
2020-09-16,476.78,477.395,455.94,455.97,91.19,58649
2020-09-17,444.62,454.135,443.32,452.86,90.57,68378
2020-09-18,454.91,456.64,443.27,453.68,90.74,33730
2020-09-21,451.425,462.315,447.29,461.805,92.36,39167
2020-09-22,466.43,470.995,455.525,470.995,94.2,32948
2020-09-23,470.27,472.9,459.72,460.81,92.16,28678
2020-09-24,455.9,465.17,455.3,460.57,92.11,27699
2020-09-25,468.095,481.455,465.04,479.94,95.99,50649
2020-09-28,485.255,488.21,479.685,483.89,96.78,54414
2020-09-29,485.29,489.27,484.225,487.88,97.58,23756
2020-09-30,487.42,493.115,481.405,485.375,97.08,42090
2020-10-01,491.61,494.89,487.63,492.56,98.51,56213
2020-10-02,480.87,502.47,478.99,493.65,98.73,108987
2020-10-05,497.04,501.995,491.83,501.795,100.36,107444
2020-10-06,498.82,502.385,490.355,491.0,98.2,47872
2020-10-07,498.54,504.01,494.355,500.67,100.13,35268
2020-10-08,501.86,502.145,492.23,496.55,99.31,51786
2020-10-09,502.505,510.24,502.505,508.35,101.67,100642
2020-10-12,513.3,515.215,502.07,509.37,101.87,20102
2020-10-13,514.05,522.645,512.775,518.905,103.78,104864
2020-10-14,521.495,521.495,510.1,516.85,103.37,55667
2020-10-15,512.08,522.85,507.57,521.16,104.23,64989
2020-10-16,522.51,530.72,521.725,525.12,105.02,85242
2020-10-19,527.495,533.31,519.96,521.885,104.38,36836
2020-10-20,523.495,527.265,515.95,518.515,103.7,44760
2020-10-21,518.79,518.79,507.37,509.955,101.99,45145
2020-10-22,512.785,512.785,495.855,505.94,101.19,42003
2020-10-23,508.505,514.01,506.34,513.88,102.78,30171
2020-10-26,516.05,521.86,493.29,501.59,100.32,85532
2020-10-27,508.85,509.65,498.65,499.795,99.96,72821
2020-10-28,486.5,489.56,480.34,483.29,96.66,134880
2020-10-29,501.61,517.765,493.83,510.6,102.12,202655
2020-10-30,505.01,507.525,485.865,498.03,99.61,134568
