date,open,high,low,close,adj_close,volume
2020-07-27,57.38,58.73,56.77,58.7,43.64,34404
2020-07-28,58.32,60.13,57.99,59.85,44.49,38673
2020-07-29,60.15,60.6,59.295,60.6,45.05,23896
2020-07-30,59.505,60.72,59.11,60.53,45.0,40783
2020-07-31,60.0,60.07,58.98,60.045,44.81,54595
2020-08-03,59.6,59.65,58.88,59.34,44.29,42664
2020-08-04,61.03,62.6,61.03,61.775,46.1,118830
2020-08-05,62.4,62.5,61.42,62.32,46.51,78623
2020-08-06,62.02,62.78,61.52,62.15,46.38,101840
2020-08-07,62.06,62.835,61.905,62.65,46.76,27052
2020-08-10,62.985,63.23,62.445,62.45,46.61,30781
2020-08-11,63.3,63.83,62.625,62.7,46.79,44641
2020-08-12,63.38,63.395,62.51,63.035,47.04,6112
2020-08-13,62.61,63.15,61.31,61.475,45.88,28095
2020-08-14,61.33,61.825,60.91,61.0,45.52,17472
2020-08-17,60.97,62.1,60.9,61.98,46.26,46404
2020-08-18,61.93,61.93,61.07,61.58,45.96,16329
2020-08-19,61.36,61.5,59.93,60.03,44.8,29198
2020-08-20,59.91,61.56,59.91,61.03,45.55,31810
2020-08-21,61.2,61.295,60.365,61.095,45.6,33011
2020-08-24,60.97,62.39,60.485,62.365,46.54,74830
2020-08-25,62.78,62.83,61.9,62.545,46.68,29305
2020-08-26,62.03,62.27,61.28,61.67,46.02,32604
2020-08-27,62.14,62.66,62.11,62.53,46.67,35997
2020-08-28,62.105,63.48,62.105,63.44,47.35,36006
2020-08-31,62.93,62.93,61.82,61.98,46.43,76338
2020-09-01,61.49,62.78,61.38,62.46,46.79,93576
2020-09-02,62.23,63.62,61.97,63.53,47.59,78312
2020-09-03,64.025,64.79,63.475,64.3,48.16,38685
2020-09-04,64.69,65.26,63.25,64.45,48.28,53052
2020-09-08,64.25,64.77,63.43,63.98,47.93,60835
2020-09-09,64.775,65.63,64.23,64.66,48.43,29389
2020-09-10,64.13,64.98,63.745,63.745,47.75,18653
2020-09-11,63.89,63.89,62.52,63.415,47.5,99014
2020-09-14,64.08,65.58,63.95,65.49,49.06,32161
2020-09-15,65.71,66.77,65.52,65.805,49.29,55295
2020-09-16,65.91,66.42,65.355,65.38,48.97,26607
2020-09-17,64.72,65.25,63.67,64.06,47.99,213758
2020-09-18,63.345,63.71,62.335,62.35,46.7,64281
2020-09-21,61.57,61.61,59.595,60.09,45.01,46811
2020-09-22,60.555,61.595,60.46,60.62,45.41,39436
2020-09-23,60.58,60.81,58.985,59.0,44.19,15131
2020-09-24,59.0,59.43,58.375,58.72,43.99,44427
2020-09-25,58.545,60.03,58.545,59.94,44.9,32058
2020-09-28,61.35,62.02,60.875,61.63,46.16,69091
2020-09-29,61.48,61.595,60.4,61.16,45.81,52563
2020-09-30,61.445,61.92,60.035,60.77,45.7,46804
2020-10-01,60.87,62.32,60.52,62.32,46.86,119007
2020-10-02,61.16,64.08,60.985,63.92,48.06,123314
2020-10-05,63.955,64.33,62.29,63.23,47.55,97023
2020-10-06,63.64,63.9,62.65,62.95,47.33,130413
2020-10-07,63.225,63.31,62.46,62.725,47.17,92305
2020-10-08,63.07,63.77,63.04,63.77,47.95,48725
2020-10-09,64.43,64.495,62.96,63.16,47.49,84299
2020-10-12,63.085,63.54,62.61,63.36,47.64,49364
2020-10-13,62.75,62.94,61.1,61.69,46.39,106051
2020-10-14,61.6,61.77,60.7,60.975,45.85,91551
