date,open,high,low,close,adj_close,volume
2020-07-27,85.94,86.83,85.6,85.935,46.58,24691
2020-07-28,86.19,86.615,85.18,85.43,46.3,69444
2020-07-29,85.01,86.195,85.01,85.98,46.6,52977
2020-07-30,84.79,85.02,84.04,84.6,45.85,65847
2020-07-31,83.98,85.06,83.73,85.06,46.1,49534
2020-08-03,85.09,86.145,84.99,85.635,46.41,33274
2020-08-04,84.72,85.25,84.5,84.85,45.99,38727
2020-08-05,85.39,86.94,85.39,86.94,47.12,35536
2020-08-06,86.725,87.38,86.725,87.38,47.36,38650
2020-08-07,87.16,88.59,87.16,88.53,47.98,26716
2020-08-10,88.6,90.59,88.5,89.86,48.88,39875
2020-08-11,90.525,91.03,90.16,90.36,49.15,58836
2020-08-12,90.545,90.97,89.87,90.34,49.14,55147
2020-08-13,89.69,89.74,88.28,88.455,48.11,59027
2020-08-14,88.01,89.415,88.01,88.9,48.36,35658
2020-08-17,89.11,89.31,88.515,88.65,48.22,10916
2020-08-18,89.03,89.19,88.4,88.535,48.16,30010
2020-08-19,88.56,88.83,87.87,88.09,47.92,43541
2020-08-20,87.47,87.61,86.92,87.2,47.43,12532
2020-08-21,86.64,87.325,86.64,87.02,47.33,35382
2020-08-24,87.54,87.845,86.71,86.86,47.25,44882
2020-08-25,87.695,87.755,86.21,86.365,46.98,27960
2020-08-26,85.98,87.13,85.465,86.82,47.23,16548
2020-08-27,87.4,87.48,85.965,86.33,46.96,29697
2020-08-28,86.105,86.48,85.56,86.48,47.04,25951
2020-08-31,86.665,86.665,85.7,85.94,46.75,28921
2020-09-01,85.855,87.105,85.04,87.105,47.38,46490
2020-09-02,87.18,88.2,87.17,87.905,47.82,55883
2020-09-03,88.34,88.34,84.87,85.49,46.5,22086
2020-09-04,86.44,86.7,85.07,85.63,46.58,55268
2020-09-08,84.77,85.13,83.38,83.44,45.39,51379
2020-09-09,84.09,85.44,83.71,84.85,46.15,46110
2020-09-10,84.585,85.56,82.42,82.88,45.08,35953
2020-09-11,83.14,84.23,83.09,83.89,45.63,51505
2020-09-14,84.525,86.49,84.295,86.355,46.97,56403
2020-09-15,86.495,86.945,85.67,85.815,46.68,38122
2020-09-16,86.32,87.28,85.86,86.395,46.99,55381
2020-09-17,84.99,86.875,84.93,85.8,46.67,63827
2020-09-18,85.975,86.18,84.05,84.205,45.8,40997
2020-09-21,83.58,83.58,80.41,81.84,44.52,58124
2020-09-22,81.48,83.085,81.48,82.36,44.8,41123
2020-09-23,82.63,83.475,81.17,81.65,44.41,60119
2020-09-24,80.795,83.16,80.695,82.14,44.68,51979
2020-09-25,81.925,84.09,81.925,83.535,45.44,48811
2020-09-28,84.67,86.62,84.67,86.57,47.09,100686
2020-09-29,86.285,87.18,85.88,86.195,46.89,45374
2020-09-30,86.36,87.62,84.84,85.32,46.41,28617
2020-10-01,86.17,86.21,83.58,84.51,45.97,83024
2020-10-02,83.515,85.835,83.515,85.01,46.24,49367
2020-10-05,85.935,88.42,85.935,88.11,47.93,46628
2020-10-06,87.99,89.74,87.45,87.71,47.71,56741
2020-10-07,88.62,89.98,88.62,89.9,48.9,40299
2020-10-08,89.425,89.94,88.61,89.93,48.92,30452
2020-10-09,89.83,90.91,88.89,89.23,48.54,116318
2020-10-12,90.265,90.265,89.16,89.8,48.85,79901
2020-10-13,89.09,89.85,87.63,88.57,48.18,80979
2020-10-14,88.91,89.88,88.53,88.93,48.37,50773
2020-10-15,88.16,89.23,88.02,89.12,48.48,45656
2020-10-16,88.78,91.26,88.78,89.97,48.94,101157
2020-10-19,90.25,91.56,90.13,91.1,49.55,178148
2020-10-20,91.8,91.8,89.05,90.355,49.15,454308
2020-10-21,90.195,91.78,90.125,90.89,49.44,163539
2020-10-22,92.06,92.41,90.61,91.7,49.88,103773
2020-10-23,92.13,92.935,91.985,92.58,50.36,94417
2020-10-26,91.24,91.24,89.5,90.6,49.28,105185
2020-10-27,91.05,91.2,88.37,88.435,48.1,69827
2020-10-28,86.7,87.49,84.89,84.99,46.23,97629
2020-10-29,84.78,86.55,84.44,85.67,46.6,63496
2020-10-30,85.42,85.88,84.42,85.41,46.46,83597
2020-11-02,86.65,88.91,86.49,88.73,48.26,86420
2020-11-03,90.7,92.33,89.71,91.88,49.98,84811
2020-11-04,92.63,92.64,88.61,88.75,48.28,101563
2020-11-05,89.445,91.28,89.445,90.575,49.27,70254
2020-11-06,90.85,91.33,89.67,89.985,48.95,58908
2020-11-09,94.89,95.68,90.495,90.495,49.4,118854
2020-11-10,89.9,92.56,89.86,91.06,49.71,154484
2020-11-11,91.54,91.54,89.645,90.05,49.16,44377
2020-11-12,89.88,89.9,88.43,88.96,48.56,77026
2020-11-13,89.735,90.12,89.05,89.9,49.07,79354
2020-11-16,90.71,91.26,88.195,89.93,49.09,78602
2020-11-17,89.06,89.285,88.04,88.75,48.45,83250
2020-11-18,89.47,90.89,88.89,89.83,49.04,75059
