date,open,high,low,close,adj_close,volume
2020-07-27,125.88,126.64,125.68,126.305,109.24,100981
2020-07-28,126.49,128.455,126.295,127.83,110.56,214628
2020-07-29,127.85,129.23,127.75,128.45,111.09,168499
2020-07-30,130.41,132.0,129.71,131.44,113.68,441757
2020-07-31,130.13,131.2,129.29,131.2,113.47,238744
2020-08-03,130.78,131.9,130.76,131.365,113.61,113396
2020-08-04,130.77,133.92,130.71,133.7,115.63,234122
2020-08-05,133.94,134.605,133.15,133.46,115.42,158379
2020-08-06,132.85,133.36,132.16,132.67,114.74,71014
2020-08-07,132.85,133.615,132.46,133.58,115.53,111762
2020-08-10,133.52,134.425,133.23,134.155,116.03,95531
2020-08-11,134.365,134.73,132.8,133.23,115.23,139673
2020-08-12,133.83,135.97,133.76,135.61,117.28,111108
2020-08-13,135.08,135.81,134.99,135.75,117.41,76374
2020-08-14,135.555,135.555,134.56,135.14,116.88,93412
2020-08-17,134.89,135.685,134.78,135.515,117.2,177759
2020-08-18,135.77,137.5,135.42,136.5,118.05,212172
2020-08-19,135.765,136.25,135.57,135.84,117.48,158196
2020-08-20,135.45,136.97,135.45,136.92,118.42,83262
2020-08-21,136.605,138.02,135.935,137.45,118.88,72970
2020-08-24,137.5,138.75,137.23,138.54,119.82,115042
2020-08-25,138.77,139.05,137.82,139.05,120.26,134716
2020-08-26,138.97,139.28,138.265,138.36,119.66,255663
2020-08-27,138.815,139.68,138.19,138.27,119.58,107045
2020-08-28,138.23,138.895,136.96,138.8,120.04,76678
2020-08-31,138.095,138.72,137.835,138.29,119.6,94475
2020-09-01,137.76,138.16,137.075,138.16,119.49,185999
2020-09-02,138.06,141.29,137.82,140.51,121.52,116007
2020-09-03,141.055,141.69,137.11,138.26,119.58,230640
2020-09-04,138.085,139.07,136.13,138.02,119.37,125095
2020-09-08,138.435,138.58,135.06,135.91,117.54,134943
2020-09-09,136.74,139.55,136.74,138.12,119.45,62542
2020-09-10,138.055,138.67,136.55,136.73,118.25,129062
2020-09-11,137.755,138.62,137.25,138.08,119.42,70232
2020-09-14,138.57,139.57,138.36,138.67,119.93,110308
2020-09-15,138.99,139.745,138.395,138.7,119.96,115503
2020-09-16,139.31,140.15,137.655,137.655,119.05,118779
2020-09-17,136.96,137.85,136.23,137.54,118.95,98248
2020-09-18,137.4,137.91,136.27,137.38,118.81,68467
2020-09-21,137.21,137.4,134.75,136.7,118.23,103201
2020-09-22,136.49,139.01,136.49,138.0,119.35,145601
2020-09-23,138.24,138.28,136.09,136.3,117.88,97526
2020-09-24,136.765,137.14,135.76,136.94,118.43,211218
2020-09-25,136.465,137.99,136.465,137.68,119.07,148548
2020-09-28,138.58,139.93,137.785,137.83,119.2,181388
2020-09-29,138.22,138.24,136.685,137.25,118.7,201211
2020-09-30,138.005,139.82,137.85,138.925,120.15,195747
2020-10-01,139.43,139.98,138.23,139.23,120.41,327868
2020-10-02,137.99,139.12,136.97,138.09,119.43,257570
2020-10-05,138.88,139.635,138.31,139.35,120.52,235905
2020-10-06,139.4,140.77,138.83,139.78,120.89,190300
2020-10-07,140.06,141.385,139.4,140.65,121.64,299176
2020-10-08,140.68,141.93,140.39,141.65,122.51,168924
2020-10-09,141.885,143.64,141.8,142.84,123.54,247431
2020-10-12,143.51,145.32,143.48,144.47,124.95,308538
2020-10-13,144.07,144.84,143.465,144.28,124.78,263560
2020-10-14,144.21,145.09,143.12,143.99,124.53,219671
2020-10-15,143.04,144.39,143.04,143.875,124.43,266565
2020-10-16,144.13,145.84,144.13,144.41,124.89,214503
2020-10-19,144.515,145.36,141.145,141.79,122.63,379744
2020-10-20,145.37,145.55,141.9,142.57,123.3,537006
2020-10-21,142.565,144.33,142.565,143.2,123.85,243282
2020-10-22,141.505,142.75,141.15,141.49,123.05,257085
2020-10-23,141.76,142.87,141.76,142.34,123.79,238650
2020-10-26,141.425,142.04,140.03,141.235,122.83,206603
2020-10-27,141.87,143.315,141.67,142.38,123.82,352570
2020-10-28,140.525,140.9,137.33,137.73,119.78,361548
2020-10-29,137.25,139.08,135.81,137.71,119.76,360249
2020-10-30,137.16,137.97,134.86,137.05,119.19,262943
2020-11-02,138.79,139.97,137.46,138.48,120.43,554528
2020-11-03,139.895,142.64,139.86,141.25,122.84,402761
2020-11-04,140.51,142.94,140.36,140.53,122.21,242005
2020-11-05,142.51,143.53,141.78,142.46,123.89,304830
2020-11-06,142.63,144.06,142.39,143.27,124.6,183773
2020-11-09,146.15,146.66,137.61,137.88,119.91,519478
2020-11-10,138.15,140.62,137.17,140.21,121.94,584783
2020-11-11,141.4,142.98,140.65,142.04,123.53,290778
2020-11-12,142.455,142.455,141.07,142.21,123.67,296227
2020-11-13,142.32,144.48,141.97,144.29,125.48,631296
2020-11-16,144.25,144.415,141.265,142.29,123.74,461307
2020-11-17,141.855,143.46,141.76,141.805,123.32,333975
2020-11-18,141.9,142.075,139.72,139.77,121.55,217489
2020-11-19,140.04,140.04,138.47,139.54,121.35,273153
2020-11-20,139.65,140.33,138.65,139.29,121.14,211557
2020-11-23,139.2,139.93,137.87,138.76,120.67,271894
2020-11-24,138.96,139.825,138.07,138.29,120.27,301646
2020-11-25,138.09,139.37,138.09,138.66,120.59,319779
2020-11-27,138.635,138.7,137.54,138.54,120.48,189796
2020-11-30,138.34,139.1,136.77,138.94,120.83,354519
2020-12-01,139.2,139.48,138.19,139.4,121.23,406418
2020-12-02,139.33,139.915,137.49,138.4,120.36,254441
2020-12-03,138.04,138.3,135.57,137.34,119.44,318691
2020-12-04,137.27,137.78,135.89,137.48,119.56,228338
2020-12-07,136.92,137.7,136.56,137.67,119.73,350023
2020-12-08,137.07,138.76,136.47,138.11,120.11,238288
2020-12-09,137.83,137.91,136.265,136.35,118.58,280789
2020-12-10,136.535,136.83,135.04,135.49,117.83,316388
2020-12-11,134.46,136.76,134.46,136.47,118.68,273745
2020-12-14,137.055,137.92,135.91,135.915,118.2,180332
2020-12-15,136.4,137.535,136.26,136.6,118.8,255220
2020-12-16,137.09,138.24,136.81,137.26,119.37,190638
2020-12-17,138.115,139.11,137.96,138.22,120.2,288416
2020-12-18,138.48,140.01,137.48,139.145,121.01,278492
2020-12-21,137.87,138.42,136.26,137.52,119.6,187900
2020-12-22,137.2,138.06,136.385,136.47,118.68,190761
2020-12-23,137.365,137.5,136.13,136.41,118.63,191657
2020-12-24,136.52,138.13,136.52,137.77,119.81,104747
2020-12-28,138.24,139.32,137.945,138.67,120.6,104452
2020-12-29,139.26,139.93,138.21,138.46,120.41,249322
2020-12-30,138.635,138.91,137.56,137.73,119.78,100017
2020-12-31,137.91,139.24,137.41,139.18,121.04,128211
2021-01-04,139.59,139.85,136.35,137.775,119.82,638650
2021-01-05,137.91,138.915,136.31,138.76,120.67,446465
2021-01-06,138.85,141.025,138.66,140.2,121.93,382678
2021-01-07,139.825,140.13,138.04,138.855,120.76,348334
2021-01-08,138.79,138.99,137.0,138.8,120.71,354039
2021-01-11,138.78,139.42,137.6,137.82,119.86,240442
2021-01-12,137.8,138.205,136.26,137.11,119.24,255664
2021-01-13,137.15,138.06,137.15,137.23,119.34,213337
2021-01-14,137.43,137.65,135.29,135.895,118.18,230151
2021-01-15,135.3,136.14,134.675,134.86,117.28,196261
2021-01-19,135.66,136.3,133.58,133.7,116.27,257625
2021-01-20,132.755,133.43,131.38,131.88,114.69,618165
2021-01-21,131.17,131.99,130.505,131.04,114.65,397435
2021-01-22,131.11,131.46,130.0,130.0,113.74,327585
2021-01-25,129.96,132.975,129.92,132.19,115.65,345084
2021-01-26,132.09,133.46,131.55,133.11,116.46,306746
2021-01-27,132.745,133.07,128.11,128.11,112.08,483270
2021-01-28,127.61,131.64,127.51,130.36,114.05,306979
2021-01-29,130.29,130.29,128.1,128.2,112.16,312500
2021-02-01,129.09,129.64,128.21,128.98,112.85,388581
2021-02-02,129.6,130.7,128.7,128.81,112.7,291651
2021-02-03,128.49,129.195,127.76,128.945,112.81,356660
2021-02-04,129.36,129.45,128.6,129.0,112.86,335564
2021-02-05,129.22,130.08,129.08,129.52,113.32,161327
2021-02-08,129.905,130.065,128.12,129.2,113.04,334858
