date,open,high,low,close,adj_close,volume
2020-07-27,87.82,88.24,86.85,87.38,74.34,81540
2020-07-28,87.175,87.8,86.705,87.44,74.39,61415
2020-07-29,87.24,89.25,87.145,88.92,75.65,118727
2020-07-30,88.045,89.29,87.86,88.505,75.3,86494
2020-07-31,88.24,90.38,88.24,90.33,76.85,64836
2020-08-03,90.85,91.19,89.65,89.9,76.48,89149
2020-08-04,89.72,90.445,89.44,90.23,76.76,61638
2020-08-05,90.855,91.79,90.56,90.66,77.13,87487
2020-08-06,90.77,91.355,88.925,89.585,76.21,92839
2020-08-07,89.45,90.76,89.45,90.75,77.21,49510
2020-08-10,91.015,91.1,89.73,90.14,76.69,95177
2020-08-11,90.83,91.025,88.87,88.96,75.68,56549
2020-08-12,89.745,90.44,88.73,89.0,75.72,87392
2020-08-13,88.505,89.03,88.0,89.03,75.74,70360
2020-08-14,88.69,89.54,88.65,88.965,75.69,72655
2020-08-17,88.84,89.77,88.55,88.83,75.57,68506
2020-08-18,89.22,89.94,89.02,89.715,76.33,80727
2020-08-19,90.28,91.0,89.96,90.33,76.85,62128
2020-08-20,90.09,91.05,90.09,90.83,77.27,42948
2020-08-21,91.16,91.99,90.99,91.84,78.13,80011
2020-08-24,92.33,92.33,91.465,92.06,78.32,78934
2020-08-25,92.22,93.015,91.725,92.815,78.96,83421
2020-08-26,92.26,92.725,91.52,92.11,78.36,36804
2020-08-27,92.93,93.865,92.93,93.35,79.42,17437
2020-08-28,93.6,93.81,93.19,93.73,79.74,55268
2020-08-31,93.72,95.35,93.165,95.16,80.96,82245
2020-09-01,94.745,95.2,93.085,93.81,79.81,123492
2020-09-02,93.455,95.355,93.455,95.05,80.86,40465
2020-09-03,95.2,96.16,92.715,93.28,79.36,65845
2020-09-04,93.9,94.98,92.51,93.05,79.16,60346
2020-09-08,92.77,92.77,90.66,91.78,78.08,74783
2020-09-09,92.96,95.38,92.79,94.685,80.55,104832
2020-09-10,94.74,95.545,94.22,94.4,80.31,70956
2020-09-11,94.585,95.665,94.21,94.97,80.8,58625
2020-09-14,95.55,96.58,95.5,96.37,81.99,67508
2020-09-15,96.49,96.695,94.955,95.11,80.92,120805
2020-09-16,95.8,96.25,95.08,95.08,80.89,87487
2020-09-17,94.05,95.99,94.05,95.42,81.18,73192
2020-09-18,95.69,97.49,95.69,96.85,82.4,105685
2020-09-21,95.635,97.365,95.4,97.36,82.83,126705
2020-09-22,95.71,97.62,93.49,94.41,80.32,185595
