date,open,high,low,close,adj_close,volume
2020-07-27,181.51,185.94,180.815,185.57,171.45,19399
2020-07-28,182.4,183.105,180.57,180.57,166.84,16618
2020-07-29,183.13,183.52,180.895,183.49,169.53,53400
2020-07-30,179.695,180.65,175.21,180.49,166.76,59139
2020-07-31,179.055,179.595,175.66,178.855,165.25,49584
2020-08-03,179.66,183.36,178.68,182.01,168.17,23740
2020-08-04,182.27,182.47,180.19,181.14,167.36,48715
2020-08-05,184.6,186.7,184.41,185.61,171.49,73301
2020-08-06,187.73,194.35,187.73,192.98,178.3,119083
2020-08-07,194.855,198.02,193.05,197.53,182.51,52494
2020-08-10,199.31,204.62,199.095,204.58,189.02,39063
2020-08-11,208.25,213.86,207.16,208.52,192.66,53032
2020-08-12,210.75,210.75,207.055,209.72,193.77,28650
2020-08-13,207.435,209.135,207.23,207.99,192.17,15935
2020-08-14,206.06,210.7,206.06,209.56,193.62,14984
2020-08-17,210.45,210.84,208.46,208.56,192.7,15099
2020-08-18,208.44,208.81,206.415,206.625,190.91,24044
2020-08-19,206.03,208.07,205.435,206.04,190.37,26095
2020-08-20,203.7,205.84,203.7,204.92,189.33,13605
2020-08-21,205.12,207.57,205.12,206.33,190.64,21818
2020-08-24,208.32,209.965,208.08,209.79,193.83,21349
2020-08-25,209.935,211.18,208.095,209.51,193.57,21769
2020-08-26,208.02,210.56,207.635,209.75,193.8,11786
2020-08-27,210.06,211.575,207.75,207.84,192.84,39223
2020-08-28,208.83,210.42,208.39,210.31,195.13,37416
2020-08-31,209.28,209.28,206.035,206.035,191.17,53609
2020-09-01,204.5,211.905,204.395,211.76,196.48,39928
2020-09-02,212.37,215.175,211.13,214.615,199.13,33171
2020-09-03,214.46,214.46,204.43,206.28,191.39,34259
2020-09-04,209.3,210.47,205.005,207.26,192.3,29364
2020-09-08,204.055,207.345,203.05,203.29,188.62,29242
2020-09-09,206.54,208.735,205.825,207.17,192.22,26330
2020-09-10,208.015,209.075,203.57,204.7,189.93,24000
2020-09-11,205.74,209.78,205.74,209.13,194.04,44603
2020-09-14,211.16,212.24,209.455,211.43,196.17,53759
2020-09-15,212.18,214.25,209.81,209.91,194.76,15207
2020-09-16,211.99,217.53,211.81,214.5,199.02,37079
2020-09-17,208.635,215.845,208.635,214.09,198.64,37142
2020-09-18,214.73,214.73,207.84,208.67,193.61,26360
2020-09-21,203.32,203.545,194.485,198.87,184.52,48353
2020-09-22,201.09,201.09,197.41,200.695,186.21,22181
2020-09-23,201.335,202.6,195.25,195.39,181.29,39822
2020-09-24,192.535,198.49,192.475,195.63,181.51,43643
2020-09-25,194.72,201.27,194.72,199.83,185.41,21061
2020-09-28,203.53,206.635,202.655,202.655,188.03,25468
2020-09-29,202.965,204.55,200.61,202.31,187.71,12914
2020-09-30,204.36,206.73,199.955,202.41,187.8,47914
2020-10-01,203.22,205.095,198.91,200.85,186.35,72083
2020-10-02,197.635,210.81,197.2,207.37,192.4,61597
2020-10-05,210.59,214.04,210.41,213.31,197.92,67195
2020-10-06,213.28,216.97,209.67,209.96,194.81,34794
2020-10-07,213.07,217.84,212.8,217.47,201.77,33495
2020-10-08,218.15,218.765,215.46,217.775,202.06,50184
2020-10-09,219.92,220.92,217.76,218.14,202.4,54074
2020-10-12,218.51,219.45,216.63,218.14,202.4,53561
2020-10-13,216.355,217.86,214.45,215.53,199.97,31796
2020-10-14,217.87,219.03,215.66,215.66,200.1,31744
2020-10-15,212.51,222.65,212.51,222.65,206.58,64790
2020-10-16,223.83,226.54,222.335,222.94,206.85,185515
2020-10-19,223.49,225.76,220.82,221.77,205.76,59407
2020-10-20,222.58,226.53,222.58,223.51,207.38,51825
2020-10-21,223.34,225.135,221.85,222.63,206.56,72845
2020-10-22,224.61,225.7,222.87,225.37,209.1,76850
2020-10-23,227.92,227.92,224.26,225.94,209.63,53739
2020-10-26,222.02,222.02,216.775,218.53,202.76,50221
2020-10-27,218.185,218.185,211.675,211.72,196.44,48582
2020-10-28,206.68,209.15,203.09,203.125,188.47,55860
2020-10-29,203.0,210.34,202.03,208.09,193.07,90583
2020-10-30,208.845,209.36,204.99,208.15,193.13,47384
2020-11-02,211.44,219.1,211.44,218.035,202.3,76409
2020-11-03,222.075,227.67,221.215,226.53,210.18,62241
2020-11-04,223.6,224.37,217.48,218.32,202.56,88427
2020-11-05,227.995,239.41,227.8,237.74,221.48,243421
2020-11-06,236.82,238.28,236.36,237.505,221.26,72997
2020-11-09,261.76,268.39,252.29,252.73,235.44,106717
2020-11-10,254.685,262.305,254.57,261.37,243.49,115934
2020-11-11,260.63,262.86,257.785,260.955,243.1,193865
2020-11-12,258.415,260.82,255.13,257.14,239.55,168156
2020-11-13,259.135,261.5,256.43,258.94,241.23,50866
2020-11-16,264.8,269.77,261.11,267.11,248.84,49006
2020-11-17,264.5,265.24,259.5,263.05,245.05,43453
2020-11-18,264.56,268.025,263.165,265.3,247.15,47276
2020-11-19,262.645,268.77,262.645,268.45,250.09,57537
2020-11-20,268.23,268.535,266.295,267.4,249.11,67944
2020-11-23,269.91,273.34,269.91,271.68,253.09,34392
2020-11-24,275.43,280.28,274.575,280.13,260.97,55660
2020-11-25,278.27,278.27,272.29,274.26,255.5,49341
2020-11-27,276.68,276.68,271.53,272.58,253.93,16394
2020-11-30,270.91,270.98,265.34,267.34,249.05,40030
2020-12-01,270.78,273.06,269.305,270.38,251.88,34025
2020-12-02,267.26,271.03,265.815,269.95,251.48,29188
2020-12-03,269.7,272.5,268.44,268.72,250.34,37558
2020-12-04,271.265,276.84,271.265,275.69,256.83,26958
2020-12-07,272.51,273.58,268.91,271.345,252.78,46223
2020-12-08,271.1,274.69,271.1,274.18,255.42,23099
2020-12-09,275.535,276.87,272.44,276.4,257.49,34687
2020-12-10,272.715,276.02,272.715,274.34,255.57,61016
2020-12-11,272.04,276.4,271.59,274.7,255.91,38612
2020-12-14,277.97,278.59,270.05,270.1,251.62,45151
2020-12-15,274.56,277.08,270.57,275.7,256.84,30599
2020-12-16,276.215,276.215,271.66,272.76,254.1,24332
2020-12-17,274.35,274.6,271.33,273.28,254.59,55682
2020-12-18,273.81,275.0,270.655,272.5,253.86,43627
2020-12-21,264.83,273.02,264.29,272.71,254.05,40359
2020-12-22,269.77,270.2,267.195,267.285,249.0,31194
2020-12-23,270.0,270.94,267.86,269.365,250.94,37037
2020-12-24,270.13,270.75,267.52,269.465,251.03,8685
2020-12-28,271.03,271.82,267.66,267.66,249.35,21159
2020-12-29,270.57,270.57,263.29,265.93,247.74,21563
2020-12-30,269.64,271.21,268.6,270.16,251.68,28352
2020-12-31,268.62,272.66,268.325,272.47,253.83,26358
2021-01-04,272.78,274.87,264.765,266.13,247.92,39151
2021-01-05,265.725,273.465,265.725,272.01,253.4,78444
2021-01-06,274.37,286.35,274.37,280.81,261.6,62466
2021-01-07,284.66,285.215,279.88,281.32,262.08,52204
2021-01-08,281.55,281.94,275.98,281.14,261.91,83427
2021-01-11,278.75,285.21,277.91,284.07,264.64,46372
2021-01-12,285.81,290.0,284.1,287.915,268.22,43602
2021-01-13,288.49,288.49,285.51,286.25,266.67,52333
2021-01-14,288.94,293.57,288.39,291.1,271.19,33946
2021-01-15,288.28,288.28,282.92,285.23,265.72,46373
2021-01-19,287.76,290.98,287.415,288.97,269.2,63046
2021-01-20,289.98,290.29,286.24,287.09,267.45,48171
2021-01-21,286.94,287.29,278.88,279.175,260.08,54459
2021-01-22,276.22,276.22,271.77,275.21,256.38,51408
2021-01-25,273.18,274.19,265.455,269.81,251.35,114016
2021-01-26,271.0,272.39,266.4,266.7,248.46,46104
2021-01-27,260.02,260.02,247.78,249.39,232.33,132201
2021-01-28,256.82,267.87,256.745,265.62,247.45,63409
2021-01-29,261.87,267.39,260.6,264.77,246.66,64551
2021-02-01,267.82,269.11,264.28,268.345,249.99,57688
2021-02-02,272.83,273.67,267.52,267.98,249.65,67488
2021-02-03,268.395,272.51,267.97,271.38,252.82,52290
2021-02-04,284.0,286.185,268.98,269.07,250.66,186920
2021-02-05,275.425,281.225,275.425,279.62,260.49,125930
2021-02-08,281.745,281.745,275.99,278.98,259.9,58332
2021-02-09,275.11,277.94,269.93,275.73,257.68,56737
2021-02-10,275.345,276.255,270.12,272.65,254.8,48455
2021-02-11,275.045,276.355,266.775,273.21,255.33,57233
2021-02-12,273.52,276.3,272.16,276.25,258.17,68335
2021-02-16,279.42,279.42,274.35,276.06,257.99,63058
2021-02-17,274.27,275.71,271.65,272.06,254.25,46309
2021-02-18,270.45,271.91,266.53,268.15,250.6,72103
2021-02-19,270.42,280.68,270.42,279.68,261.37,87539
2021-02-22,279.19,285.57,278.7,282.24,263.77,69676
2021-02-23,282.3,286.62,277.22,286.32,267.58,77501
2021-02-24,287.35,297.62,285.89,297.345,277.88,265790
2021-02-25,296.51,297.02,288.02,289.78,270.81,67469
2021-02-26,288.6,292.08,284.29,287.16,268.36,62750
2021-03-01,293.475,300.7,292.87,297.65,278.17,31389
2021-03-02,297.03,298.28,295.27,295.79,276.43,40222
2021-03-03,295.79,302.445,295.79,296.35,276.95,59633
2021-03-04,295.725,298.31,288.595,293.32,274.12,123189
2021-03-05,295.92,300.76,289.04,300.32,280.66,75989
2021-03-08,301.635,302.16,297.88,298.725,279.17,100914
2021-03-09,301.18,301.525,295.515,295.94,276.57,75801
2021-03-10,296.7,308.23,296.615,306.585,286.52,105369
2021-03-11,309.36,313.79,306.13,308.24,288.06,89609
2021-03-12,309.225,313.35,308.965,312.36,291.91,31020
2021-03-15,311.9,315.445,310.04,315.08,294.46,52078
2021-03-16,314.28,315.485,309.86,310.01,289.72,42397
2021-03-17,310.85,315.86,310.75,314.82,294.21,43691
2021-03-18,315.23,321.705,314.76,315.17,294.54,68235
2021-03-19,313.64,314.18,307.07,311.195,290.82,47709
2021-03-22,307.81,313.53,307.13,311.08,290.72,51895
2021-03-23,308.29,311.68,303.71,306.0,285.97,78120
2021-03-24,310.52,313.14,308.29,308.38,288.19,33841
2021-03-25,305.38,315.14,302.73,314.535,293.95,45502
2021-03-26,316.32,318.81,313.65,317.82,297.02,46466
2021-03-29,318.38,320.33,316.685,317.24,296.47,32148
2021-03-30,318.76,320.29,316.26,316.925,296.18,51322
2021-03-31,317.99,318.77,314.42,315.8,295.13,43615
2021-04-01,317.13,317.13,313.81,316.15,295.46,69845
2021-04-05,319.49,320.575,317.395,319.15,298.26,56029
2021-04-06,320.69,323.7,316.2,316.93,296.18,44987
2021-04-07,317.53,318.75,313.85,316.73,296.0,40550
2021-04-08,315.87,318.33,313.83,318.26,297.43,44597
2021-04-09,320.46,320.77,315.9,320.75,299.75,22004
2021-04-12,322.81,322.81,320.005,321.21,300.18,41432
2021-04-13,319.36,319.36,314.65,315.45,294.8,24015
2021-04-14,317.14,321.35,317.14,317.66,296.87,24771
2021-04-15,319.99,320.25,315.69,318.045,297.23,39631
2021-04-16,323.31,323.31,317.79,320.96,299.95,27473
2021-04-20,316.6,316.955,308.99,312.3,291.86,71973
2021-04-21,311.35,318.4,310.49,317.6,296.81,25813
2021-04-22,318.055,318.595,313.68,313.68,293.15,21442
2021-04-23,316.03,319.86,315.365,318.04,297.22,54411
2021-04-26,318.59,321.36,318.18,319.055,298.17,37904
2021-04-27,319.16,319.86,317.5,319.66,298.74,50665
2021-04-28,318.61,322.01,318.27,319.23,298.33,66700
2021-04-29,319.63,319.63,309.62,314.14,293.58,77853
