date,open,high,low,close,adj_close,volume
2020-07-27,43.37,44.395,42.71,44.24,41.79,171100
2020-07-28,44.49,44.955,43.445,43.545,41.14,113335
2020-07-29,43.81,44.735,43.79,44.695,42.22,66979
2020-07-30,43.76,44.35,43.54,43.88,41.45,102961
2020-07-31,43.59,43.61,42.535,43.61,41.2,118888
2020-08-03,43.805,44.56,43.65,44.04,41.6,76550
2020-08-04,43.8,44.335,43.675,44.12,41.68,86607
2020-08-05,44.01,44.75,43.84,44.53,42.07,59506
2020-08-06,44.525,44.92,44.295,44.73,42.26,76875
2020-08-07,44.42,44.61,43.575,44.26,41.81,77138
2020-08-10,44.48,46.14,44.28,45.17,42.67,65735
2020-08-11,45.55,45.55,44.165,44.375,41.92,185538
2020-08-12,44.67,45.72,44.49,45.445,42.93,114983
2020-08-13,45.1,45.835,44.65,45.52,43.0,54801
2020-08-14,45.075,45.215,44.82,45.045,42.55,46964
2020-08-17,45.41,46.63,45.31,46.445,43.88,81164
2020-08-18,47.29,47.29,46.49,46.615,44.04,91229
2020-08-19,46.425,46.545,45.815,46.18,43.63,96800
2020-08-20,45.63,46.87,45.63,46.385,43.82,76193
2020-08-21,46.38,47.62,46.19,47.465,44.84,43662
2020-08-24,47.38,47.89,46.975,47.6,44.97,105647
2020-08-25,47.915,47.915,46.55,47.17,44.56,69706
2020-08-26,47.255,47.38,46.25,46.295,43.73,65374
2020-08-27,46.595,46.96,45.77,45.775,43.24,102074
2020-08-28,45.95,46.4,45.205,45.32,42.81,27017
2020-08-31,45.28,45.36,44.27,44.57,42.1,76809
2020-09-01,44.34,46.04,44.335,46.04,43.49,87378
2020-09-02,46.085,46.3,44.78,46.185,43.63,62788
2020-09-03,45.795,45.795,43.71,44.185,41.74,160971
2020-09-04,44.64,44.875,42.31,43.195,40.81,71132
2020-09-08,42.38,44.27,42.38,43.165,40.78,122151
2020-09-09,43.675,44.995,43.505,44.61,42.14,104441
2020-09-10,44.81,45.47,44.225,44.49,42.03,49237
2020-09-11,45.285,45.495,44.72,45.305,42.8,39360
2020-09-14,45.805,45.82,44.96,45.66,43.13,75824
2020-09-15,45.61,46.325,44.985,45.06,42.57,88142
2020-09-16,45.61,47.14,45.425,46.685,44.1,104144
2020-09-17,45.93,46.305,45.07,45.35,42.84,83160
2020-09-18,45.43,45.84,44.52,45.0,42.62,73848
2020-09-21,44.0,44.685,43.345,44.6,42.24,113864
2020-09-22,44.815,45.93,44.505,45.9,43.48,185703
2020-09-23,45.84,46.125,43.825,43.835,41.52,61975
2020-09-24,43.45,45.0,43.0,44.265,41.93,81390
2020-09-25,43.885,44.315,43.37,43.995,41.67,34335
2020-09-28,44.845,45.81,44.595,45.725,43.31,47170
2020-09-29,46.115,46.175,45.07,45.275,42.88,48206
2020-09-30,45.73,47.06,45.73,46.31,43.86,63484
2020-10-01,46.825,47.49,45.98,47.45,44.94,164504
2020-10-02,46.55,47.8,46.515,47.53,45.02,70493
2020-10-05,47.85,48.3,46.59,47.705,45.19,118190
2020-10-06,47.81,48.02,46.42,46.62,44.16,133206
2020-10-07,47.29,47.955,46.89,47.15,44.66,86690
2020-10-08,48.245,49.28,48.09,48.99,46.4,127024
2020-10-09,49.32,49.7,48.68,48.975,46.39,88396
2020-10-12,49.02,49.55,48.67,49.5,46.89,94041
2020-10-13,48.74,48.94,47.83,48.38,45.83,118726
2020-10-14,48.57,48.895,48.05,48.25,45.7,123066
2020-10-15,47.59,49.06,47.535,48.89,46.31,103050
2020-10-16,49.15,49.58,47.64,47.68,45.16,139923
2020-10-19,47.97,48.32,45.99,46.38,43.93,161267
