date,open,high,low,close,adj_close,volume
2020-07-27,76.81,78.69,76.72,78.575,59.33,487057
2020-07-28,78.665,79.32,77.895,77.975,58.88,139002
2020-07-29,77.77,78.69,77.19,78.39,59.19,146403
2020-07-30,77.845,78.17,77.215,77.445,58.48,172199
2020-07-31,76.875,77.18,76.13,76.82,58.01,146633
2020-08-03,76.535,76.845,75.98,76.545,57.8,196560
2020-08-04,76.135,77.37,76.135,77.095,58.22,138544
2020-08-05,77.13,77.45,76.47,76.975,58.13,214543
2020-08-06,76.29,77.18,76.29,77.14,58.25,203707
2020-08-07,76.77,77.51,76.29,77.5,58.52,135348
2020-08-10,77.4,78.44,77.34,78.4,59.2,93460
2020-08-11,79.365,79.89,78.44,78.77,59.48,61782
2020-08-12,79.19,80.045,79.15,79.67,60.16,240182
2020-08-13,78.92,78.92,77.86,78.105,58.98,96129
2020-08-14,77.47,78.275,77.43,77.73,58.7,89208
2020-08-17,77.745,78.5,77.49,78.31,59.13,50924
2020-08-18,78.465,79.38,78.3,79.17,59.78,167579
2020-08-19,79.26,79.76,78.645,78.7,59.43,172623
2020-08-20,78.32,78.77,78.035,78.21,59.06,64347
2020-08-21,78.39,78.39,77.41,78.02,58.91,33905
2020-08-24,78.24,79.84,78.2,79.59,60.1,70534
2020-08-25,79.91,80.05,79.29,79.625,60.13,87835
2020-08-26,78.61,80.07,78.29,79.99,60.4,55969
2020-08-27,80.12,81.21,79.59,80.015,60.42,83396
2020-08-28,79.65,80.765,79.185,80.74,60.97,36625
2020-08-31,80.545,80.545,79.815,79.815,60.27,54534
2020-09-01,79.24,79.485,78.64,79.03,59.68,63084
2020-09-02,78.94,80.38,78.915,80.0,60.41,123152
2020-09-03,80.45,81.54,78.74,79.33,59.9,95585
2020-09-04,80.08,80.29,78.45,79.14,59.76,60544
2020-09-08,79.27,79.415,77.93,79.025,59.67,101999
2020-09-09,79.8,81.46,79.765,80.43,60.73,107167
2020-09-10,80.225,81.21,79.885,80.41,60.72,99512
2020-09-11,80.65,81.49,80.43,81.24,61.35,44653
2020-09-14,81.625,82.58,81.34,82.01,61.93,58271
2020-09-15,82.36,82.45,81.38,81.38,61.45,62282
2020-09-16,81.715,82.21,80.555,80.57,60.84,195127
2020-09-17,80.11,80.66,79.18,79.48,60.02,248460
2020-09-18,79.425,79.495,78.025,78.07,58.95,116260
2020-09-21,78.075,78.25,76.37,77.82,58.76,114378
2020-09-22,77.96,78.725,76.91,76.955,58.11,142541
2020-09-23,76.555,77.215,75.305,75.5,57.91,175603
2020-09-24,75.665,77.07,74.98,76.34,58.56,75011
2020-09-25,75.555,75.965,75.14,75.425,57.86,93806
2020-09-28,76.255,77.615,76.24,76.25,58.49,88284
2020-09-29,75.79,76.11,74.31,74.33,57.02,109124
2020-09-30,74.45,75.25,74.38,75.02,57.55,114578
2020-10-01,74.73,74.96,73.525,74.15,56.88,347331
2020-10-02,73.55,75.06,73.515,74.48,57.13,96301
2020-10-05,74.755,76.06,74.53,75.91,58.23,275069
