date,open,high,low,close,adj_close,volume
2020-07-27,40.315,41.14,40.3,41.08,40.64,20797
2020-07-28,40.94,40.945,39.96,39.96,39.53,24971
2020-07-29,40.165,41.22,40.15,41.14,40.69,16026
2020-07-30,40.42,40.43,39.96,40.135,39.7,20964
2020-07-31,40.13,40.235,39.205,39.98,39.55,28940
2020-08-03,40.47,41.475,40.2,41.22,40.77,18890
2020-08-04,41.385,41.705,41.205,41.485,41.04,9426
2020-08-05,41.845,42.965,41.77,42.79,42.33,18774
2020-08-06,44.0,47.63,44.0,45.43,44.94,144038
2020-08-07,45.615,46.37,44.91,46.37,45.87,59588
2020-08-10,46.48,48.225,46.48,48.22,47.7,32670
2020-08-11,49.205,50.4,49.0,49.83,49.29,55537
2020-08-12,50.36,50.885,48.85,49.51,48.97,41751
2020-08-13,48.955,49.97,48.955,49.33,48.8,41625
2020-08-14,49.16,49.595,49.135,49.44,48.9,51178
2020-08-17,50.145,51.135,49.985,50.8,50.25,19955
2020-08-18,50.13,50.94,49.5,50.325,49.78,54800
2020-08-19,50.47,50.56,49.705,49.855,49.32,32991
2020-08-20,49.15,50.255,49.15,49.775,49.24,32226
2020-08-21,49.555,50.18,49.46,49.61,49.07,19645
2020-08-24,49.97,50.94,49.97,50.82,50.27,26137
2020-08-25,51.25,51.28,50.5,51.17,50.62,21972
2020-08-26,50.7,51.695,50.67,51.45,50.89,18909
2020-08-27,51.07,51.815,50.99,51.0,50.45,31651
2020-08-28,51.21,51.4,50.775,51.38,50.82,4957
2020-08-31,51.155,51.735,50.52,51.325,50.77,19713
2020-09-01,50.985,52.85,50.985,52.58,52.01,34897
2020-09-02,52.4,53.605,52.11,53.35,52.77,60535
2020-09-03,53.115,53.305,51.08,51.58,51.02,96127
2020-09-04,52.18,52.84,51.365,51.99,51.43,59793
2020-09-08,51.205,52.05,50.54,51.36,50.8,58349
2020-09-09,52.2,52.82,52.2,52.23,51.66,23655
2020-09-10,52.32,52.345,50.965,51.21,50.66,19529
2020-09-11,51.52,52.315,51.475,51.57,51.01,17898
2020-09-14,52.035,52.34,51.145,52.27,51.7,32426
2020-09-15,52.165,52.41,51.53,51.995,51.43,29694
2020-09-16,52.22,52.99,52.15,52.525,51.96,36037
2020-09-17,51.81,53.315,51.59,52.6,52.03,17782
2020-09-18,52.59,53.01,51.665,51.9,51.34,27967
2020-09-21,49.84,50.27,48.66,49.11,48.58,25266
2020-09-22,49.2,50.39,49.2,50.145,49.6,17816
2020-09-23,50.55,52.66,50.55,51.26,50.71,66825
2020-09-24,51.11,51.92,50.12,51.43,50.87,26344
2020-09-25,50.72,51.95,50.72,51.72,51.16,17352
2020-09-28,52.29,53.1,52.29,52.88,52.31,18812
2020-09-29,52.55,53.295,52.525,52.78,52.21,28501
2020-09-30,52.75,54.12,52.44,52.92,52.4,68229
2020-10-01,53.62,53.94,52.64,53.55,53.02,109204
2020-10-02,52.76,55.82,52.755,55.22,54.67,61930
2020-10-05,55.67,57.64,55.67,56.905,56.34,111195
2020-10-06,57.13,57.76,56.31,56.75,56.19,194159
2020-10-07,57.43,58.745,57.37,58.41,57.83,67390
2020-10-08,58.49,59.125,57.89,58.975,58.39,74665
2020-10-09,59.35,59.36,58.2,59.225,58.64,83564
2020-10-12,59.88,61.655,59.875,61.32,60.71,93216
2020-10-13,60.84,60.93,60.24,60.375,59.78,37663
2020-10-14,60.44,61.335,59.67,60.81,60.21,94386
2020-10-15,59.83,62.4,59.83,62.05,61.44,69483
2020-10-16,62.03,62.46,61.79,62.04,61.43,93993
2020-10-19,62.455,63.88,61.17,61.875,61.26,68271
2020-10-20,62.26,64.14,61.99,63.11,62.49,45463
2020-10-21,62.63,63.56,61.47,61.54,60.93,114792
2020-10-22,61.735,62.07,60.98,61.13,60.53,81620
2020-10-23,61.48,62.45,61.16,62.265,61.65,117349
2020-10-26,61.28,61.35,60.4,61.14,60.54,52931
2020-10-27,61.565,61.75,60.32,60.79,60.19,84534
2020-10-28,59.45,61.29,58.95,60.925,60.32,142194
2020-10-29,59.72,64.24,59.72,62.72,62.1,152763
2020-10-30,62.54,63.34,60.95,62.42,61.8,107057
2020-11-02,63.48,66.92,62.91,66.45,65.79,107862
2020-11-03,67.03,68.23,66.0,67.29,66.62,134032
2020-11-04,65.94,66.08,61.825,63.58,62.95,204068
2020-11-05,65.38,66.18,64.46,64.46,63.82,110309
2020-11-06,64.475,65.95,64.35,65.11,64.47,77891
2020-11-09,68.57,70.0,65.44,65.46,64.81,66832
2020-11-10,65.935,68.4,65.935,66.56,65.9,108983
2020-11-11,66.765,67.63,64.755,67.56,66.89,70681
2020-11-12,67.02,67.44,66.115,67.02,66.36,81215
2020-11-13,68.57,69.25,67.84,68.92,68.24,65189
2020-11-16,70.095,70.095,68.83,69.38,68.69,42824
2020-11-17,68.87,68.87,67.07,67.4,66.73,87779
2020-11-18,67.96,68.67,67.305,67.54,66.87,107108
2020-11-19,67.59,69.0,67.09,68.24,67.57,56765
2020-11-20,68.06,68.06,66.63,66.825,66.16,48069
2020-11-23,67.45,68.96,67.38,68.9,68.22,55152
2020-11-24,69.31,70.865,68.25,70.68,69.98,75699
2020-11-25,70.14,70.14,68.96,69.65,68.96,39109
2020-11-27,69.885,69.98,69.38,69.81,69.12,14149
2020-11-30,69.88,70.14,68.07,68.32,67.64,74124
2020-12-01,69.265,70.38,69.21,69.94,69.25,42220
2020-12-02,69.715,69.715,68.29,68.58,67.9,29483
2020-12-03,68.7,69.785,68.05,69.3,68.61,99981
2020-12-04,69.785,71.66,69.59,70.68,69.98,71897
2020-12-07,70.96,71.605,70.6,71.47,70.76,59480
2020-12-08,71.615,72.38,71.25,71.73,71.02,45115
2020-12-09,72.25,73.49,72.23,73.12,72.4,95666
2020-12-10,72.41,73.98,71.82,73.025,72.3,58639
2020-12-11,73.0,73.695,72.01,72.06,71.35,58790
2020-12-14,72.115,72.115,68.3,68.53,67.85,91128
2020-12-15,69.195,69.54,68.73,69.26,68.58,38985
2020-12-16,68.47,69.2,67.19,68.44,67.76,127927
2020-12-17,68.885,69.19,68.17,68.89,68.21,50054
2020-12-18,69.01,69.06,67.41,68.22,67.55,81450
2020-12-21,66.97,68.62,66.88,68.61,67.93,86699
2020-12-22,68.79,69.46,68.45,69.09,68.41,31307
2020-12-23,69.97,70.96,69.82,70.82,70.12,38502
2020-12-24,70.87,71.05,70.55,70.89,70.19,12647
2020-12-28,71.11,71.925,70.6,70.8,70.1,20541
2020-12-29,71.2,71.2,69.79,70.65,69.95,40172
2020-12-30,70.75,71.58,70.64,71.1,70.4,19915
2020-12-31,70.99,72.14,70.98,72.05,71.4,25071
2021-01-04,70.36,71.72,67.66,68.23,67.61,114506
2021-01-05,68.25,69.83,68.25,69.57,68.94,72862
2021-01-06,71.06,74.93,70.7,74.77,74.09,103433
2021-01-07,75.54,77.055,74.99,76.445,75.75,68005
2021-01-08,76.57,76.57,75.1,76.01,75.32,35402
2021-01-11,75.3,76.62,75.19,75.325,74.64,39990
2021-01-12,75.925,76.57,74.43,76.28,75.59,30734
2021-01-13,75.97,76.02,74.01,74.74,74.06,40654
