date,open,high,low,close,adj_close,volume
2020-07-27,10.75,10.785,10.565,10.605,8.323,291440
2020-07-28,10.555,10.65,10.495,10.53,8.264,265915
2020-07-29,10.52,11.035,10.445,11.035,8.661,187432
2020-07-30,10.68,10.755,10.47,10.755,8.441,83856
2020-07-31,10.63,10.845,10.575,10.845,8.512,220908
2020-08-03,10.88,10.935,10.695,10.75,8.437,173745
2020-08-04,10.745,10.82,10.665,10.7,8.398,181818
2020-08-05,10.865,10.975,10.81,10.935,8.582,249576
2020-08-06,10.815,10.955,10.745,10.835,8.504,147216
2020-08-07,10.71,11.27,10.685,11.255,8.833,294031
2020-08-10,11.355,11.665,11.285,11.5,9.026,126530
2020-08-11,11.88,12.305,11.865,11.935,9.367,188538
2020-08-12,12.2,12.305,11.505,11.935,9.367,273557
2020-08-13,11.695,11.73,11.545,11.62,9.12,183952
2020-08-14,11.57,11.895,11.475,11.775,9.242,86767
2020-08-17,11.67,11.755,11.51,11.675,9.163,188507
2020-08-18,11.62,11.66,11.335,11.375,8.928,161763
2020-08-19,11.305,11.57,11.285,11.415,8.959,137857
2020-08-20,11.24,11.285,11.075,11.105,8.716,247284
2020-08-21,11.01,11.145,10.905,10.975,8.614,106327
2020-08-24,11.08,11.535,11.005,11.535,9.053,119389
2020-08-25,11.75,11.885,11.52,11.68,9.167,262369
2020-08-26,11.64,11.68,11.365,11.38,8.931,138366
2020-08-27,11.42,11.745,11.42,11.7,9.183,110081
2020-08-28,11.77,11.775,11.635,11.71,9.19,64452
2020-08-31,11.68,11.68,11.545,11.565,9.077,147863
2020-09-01,11.455,11.715,11.38,11.64,9.136,231212
2020-09-02,11.56,11.84,11.505,11.79,9.253,319633
2020-09-03,11.805,12.095,11.475,11.545,9.182,241298
2020-09-04,11.82,11.97,11.525,11.8,9.385,84743
2020-09-08,11.575,11.63,11.285,11.375,9.047,237804
2020-09-09,11.465,11.545,11.335,11.475,9.126,118231
2020-09-10,11.605,11.79,11.25,11.255,8.951,152637
2020-09-11,11.255,11.565,11.205,11.525,9.166,208978
2020-09-14,11.615,12.07,11.615,12.055,9.587,71831
2020-09-15,12.125,12.125,11.76,11.975,9.524,181095
2020-09-16,11.985,12.315,11.915,12.095,9.619,238297
2020-09-17,11.88,12.115,11.86,12.025,9.563,228793
2020-09-18,12.04,12.04,11.81,11.915,9.476,274006
2020-09-21,11.615,11.73,11.185,11.32,9.003,146634
2020-09-22,11.285,11.455,10.985,11.035,8.776,129305
2020-09-23,11.125,11.35,10.75,10.75,8.549,137602
2020-09-24,10.8,11.02,10.615,10.755,8.553,117146
2020-09-25,10.665,11.045,10.605,11.005,8.752,79735
2020-09-28,11.27,11.525,11.245,11.515,9.158,114800
2020-09-29,11.39,11.56,11.195,11.375,9.047,295459
2020-09-30,11.45,11.705,11.395,11.53,9.17,234341
2020-10-01,11.54,11.65,11.38,11.52,9.162,238421
2020-10-02,11.3,12.025,11.3,11.935,9.492,226316
2020-10-05,12.1,12.565,12.1,12.56,9.989,191996
2020-10-06,12.7,12.995,12.32,12.395,9.858,317392
2020-10-07,12.64,12.92,12.545,12.7,10.1,275520
2020-10-08,12.84,13.045,12.685,13.03,10.36,217328
2020-10-09,13.08,13.13,12.705,12.795,10.18,193494
2020-10-12,12.76,12.975,12.73,12.95,10.3,134523
2020-10-13,12.87,12.885,12.46,12.505,9.945,93249
2020-10-14,12.515,12.575,12.25,12.25,9.742,255133
2020-10-15,12.12,12.6,12.11,12.54,9.973,210470
2020-10-16,12.54,12.615,12.275,12.475,9.921,189290
2020-10-19,12.55,12.64,12.33,12.345,9.818,331044
2020-10-20,12.705,13.355,12.68,12.935,10.29,656402
2020-10-21,12.95,13.12,12.735,12.805,10.18,242591
2020-10-22,12.8,13.81,12.74,13.8,10.98,341898
2020-10-23,13.98,14.03,13.61,13.785,10.96,246536
2020-10-26,13.615,13.615,13.27,13.355,10.62,279969
2020-10-27,13.3,13.315,12.9,12.9,10.26,265884
2020-10-28,12.635,12.93,12.59,12.71,10.11,301452
2020-10-29,12.6,13.32,12.54,13.205,10.5,210316
2020-10-30,13.16,13.35,13.005,13.305,10.58,145990
2020-11-02,13.5,13.8,13.225,13.745,10.93,255920
2020-11-03,14.02,14.15,13.86,14.035,11.16,219009
2020-11-04,13.58,13.58,12.885,13.14,10.45,441271
2020-11-05,13.225,13.97,13.225,13.675,10.88,495990
2020-11-06,13.64,13.71,12.98,13.035,10.37,308542
2020-11-09,14.24,15.595,14.24,15.165,12.06,701339
2020-11-10,15.4,15.45,15.005,15.22,12.1,269626
2020-11-11,15.28,15.28,14.64,14.865,11.82,267448
2020-11-12,14.51,14.725,14.195,14.41,11.46,246079
2020-11-13,14.64,14.97,14.64,14.895,11.85,132462
2020-11-16,15.72,15.79,15.37,15.59,12.4,319534
2020-11-17,15.33,15.645,15.19,15.625,12.43,328479
2020-11-18,15.67,15.87,15.38,15.405,12.25,286860
2020-11-19,15.28,15.475,15.03,15.46,12.3,261093
2020-11-20,15.315,15.315,14.98,15.11,12.02,224445
2020-11-23,15.41,15.525,15.29,15.39,12.24,149602
2020-11-24,15.88,16.225,15.87,16.085,12.79,245851
2020-11-25,15.815,15.87,15.615,15.815,12.58,95911
2020-11-27,15.74,15.93,15.51,15.625,12.43,135407
2020-11-30,15.94,15.94,15.245,15.28,12.15,248412
2020-12-01,15.7,16.04,15.625,15.875,12.63,213849
2020-12-02,15.73,16.205,15.61,16.175,12.86,445707
2020-12-03,16.02,16.14,15.795,16.03,12.87,334553
2020-12-04,16.14,16.35,16.01,16.16,12.98,275280
2020-12-07,16.07,16.13,15.85,15.975,12.83,223151
2020-12-08,15.8,16.08,15.785,15.95,12.81,157214
2020-12-09,16.06,16.09,15.725,15.87,12.74,198521
2020-12-10,15.69,15.885,15.65,15.84,12.72,202908
2020-12-11,15.6,15.65,15.37,15.535,12.47,186055
2020-12-14,15.75,15.75,15.075,15.16,12.17,249150
2020-12-15,15.26,15.41,15.09,15.38,12.35,187285
2020-12-16,15.39,15.63,15.335,15.595,12.52,239104
2020-12-17,15.56,15.585,15.295,15.57,12.5,212643
2020-12-18,15.53,15.615,15.095,15.25,12.25,328892
2020-12-21,15.34,15.71,15.215,15.535,12.47,140621
2020-12-22,15.59,15.65,15.43,15.43,12.39,98989
2020-12-23,15.6,16.08,15.6,15.955,12.81,136469
2020-12-24,16.01,16.025,15.695,15.94,12.8,52932
2020-12-28,16.1,16.19,15.925,15.965,12.82,56108
2020-12-29,15.93,15.99,15.705,15.75,12.65,65517
2020-12-30,15.805,15.995,15.8,15.93,12.79,95235
2020-12-31,15.93,16.14,15.79,16.11,12.94,72904
2021-01-04,16.26,16.29,15.725,15.96,12.82,194289
2021-01-05,15.96,16.43,15.94,16.24,13.04,248831
2021-01-06,16.79,17.47,16.79,17.24,13.84,292747
2021-01-07,17.49,17.93,17.49,17.665,14.18,225435
2021-01-08,17.71,17.725,17.22,17.585,14.12,139402
2021-01-11,17.31,17.925,17.16,17.875,14.35,152866
2021-01-12,17.98,18.325,17.79,18.285,14.68,185694
2021-01-13,18.14,18.24,17.855,18.16,14.58,155692
2021-01-14,18.36,18.705,18.185,18.64,14.97,206837
2021-01-15,18.3,18.46,18.07,18.22,14.63,192727
2021-01-19,18.3,18.445,18.045,18.42,14.79,267976
2021-01-20,18.35,18.355,17.99,18.14,14.57,192547
2021-01-21,18.11,18.22,17.67,17.81,14.3,317208
2021-01-22,17.82,18.205,17.615,17.74,14.25,184843
2021-01-25,17.48,17.79,17.205,17.715,14.23,264553
2021-01-26,17.93,18.0,17.67,17.745,14.25,204447
2021-01-27,17.22,17.63,17.11,17.135,13.76,245781
2021-01-28,17.47,17.72,17.25,17.615,14.14,253462
2021-01-29,17.59,17.705,16.895,16.985,13.64,228117
2021-02-01,17.2,17.345,16.95,17.32,13.91,171921
2021-02-02,17.54,17.92,17.395,17.765,14.27,173669
2021-02-03,17.74,18.345,17.73,18.34,14.73,245511
2021-02-04,18.48,19.115,18.395,18.985,15.24,351201
2021-02-05,19.16,19.24,18.9,18.93,15.2,227499
2021-02-08,19.01,19.55,19.01,19.55,15.7,197138
2021-02-09,19.46,19.555,19.26,19.555,15.7,128472
2021-02-10,19.59,19.8,19.37,19.47,15.63,185659
2021-02-11,19.46,19.6,19.005,19.345,15.53,155356
2021-02-12,19.29,19.785,19.25,19.55,15.7,140814
2021-02-16,19.83,20.315,19.81,20.22,16.24,377446
2021-02-17,20.1,20.46,19.9,20.015,16.07,203596
2021-02-18,19.755,19.89,19.415,19.66,15.79,316853
2021-02-19,19.82,20.42,19.8,20.375,16.36,225661
2021-02-22,20.35,20.96,20.35,20.715,16.63,294477
2021-02-23,20.93,21.27,20.74,21.26,17.07,374191
2021-02-24,21.35,22.305,21.33,22.205,17.83,442282
2021-02-25,22.53,22.58,21.235,21.32,17.12,384166
2021-02-26,21.12,21.28,20.495,20.635,16.57,429868
2021-03-01,21.14,21.465,21.05,21.325,17.12,395830
2021-03-02,21.26,21.425,21.085,21.11,16.95,392333
2021-03-03,21.36,21.715,20.985,20.99,16.85,748675
2021-03-04,20.805,21.04,19.875,20.255,16.39,1324733
2021-03-05,20.7,20.95,19.755,20.91,16.92,600511
2021-03-08,21.18,21.845,20.94,21.32,17.25,521384
2021-03-09,21.05,21.34,20.525,21.02,17.0,544232
2021-03-10,21.06,21.525,20.93,21.52,17.41,342943
2021-03-11,21.31,21.695,21.25,21.45,17.35,204286
2021-03-12,21.71,21.92,21.56,21.83,17.66,280645
2021-03-15,21.68,21.73,21.275,21.465,17.36,378219
2021-03-16,21.19,21.23,20.725,20.93,16.93,612965
2021-03-17,21.17,21.41,20.905,21.19,17.14,362466
2021-03-18,21.59,22.19,21.385,21.47,17.37,572785
2021-03-19,20.92,21.425,20.585,21.085,17.06,535605
2021-03-22,20.955,20.955,20.29,20.44,16.54,222005
2021-03-23,20.2,20.505,19.935,20.105,16.26,634585
2021-03-24,20.57,20.645,19.945,19.945,16.13,325314
2021-03-25,19.87,20.83,19.665,20.755,16.79,190492
2021-03-26,21.1,21.11,20.62,21.015,17.0,215834
2021-03-29,20.62,20.68,20.055,20.31,16.43,214678
2021-03-30,20.61,21.095,20.61,20.92,16.92,291312
2021-03-31,20.815,21.08,20.65,20.655,16.71,217418
2021-04-01,20.66,21.11,20.61,21.07,17.04,313052
2021-04-05,21.33,21.485,20.885,20.98,16.97,144854
2021-04-06,20.88,21.16,20.845,21.085,17.06,169363
2021-04-07,21.04,21.225,20.96,21.135,17.1,134826
2021-04-08,20.98,21.105,20.61,21.045,17.02,132349
2021-04-09,21.28,21.3,20.995,21.225,17.17,229307
2021-04-12,21.38,21.5,21.25,21.425,17.33,215790
2021-04-13,21.275,21.275,20.7,20.84,16.86,147425
2021-04-14,20.75,21.41,20.73,21.235,17.18,344880
2021-04-15,21.2,21.2,20.555,20.96,16.96,460605
2021-04-16,21.19,21.35,21.03,21.2,17.15,165930
2021-04-20,20.73,20.81,19.895,19.995,16.18,562554
2021-04-21,19.875,20.555,19.72,20.555,16.63,244008
2021-04-22,20.71,20.76,20.27,20.295,16.42,251364
2021-04-23,19.35,20.745,19.27,20.625,16.68,495056
2021-04-26,20.85,21.34,20.83,21.105,17.07,298732
2021-04-27,21.18,21.3,20.965,21.23,17.17,134741
2021-04-28,21.31,21.525,21.265,21.4,17.31,337476
2021-04-29,21.71,21.97,21.575,21.96,17.76,405453
2021-04-30,21.7,22.08,21.615,21.8,17.64,367880
2021-05-03,22.045,22.14,21.575,21.795,17.63,293564
2021-05-04,21.72,22.335,21.47,22.31,18.05,358557
2021-05-05,22.35,22.73,22.1,22.51,18.21,191592
2021-05-06,22.63,22.69,22.25,22.69,18.36,222919
2021-05-07,22.295,22.905,22.19,22.895,18.52,256554
2021-05-10,23.07,23.25,22.66,22.66,18.33,242235
2021-05-11,22.5,22.99,22.255,22.435,18.15,280239
2021-05-12,22.75,22.83,21.835,21.9,17.72,302487
2021-05-13,21.79,22.72,21.78,22.55,18.24,271476
2021-05-14,22.63,23.305,22.61,23.26,18.82,304084
2021-05-17,23.14,23.43,22.975,23.4,18.93,198737
2021-05-18,23.34,23.5,22.85,22.85,18.48,141543
2021-05-19,22.53,22.695,22.18,22.675,18.34,252557
2021-05-20,22.57,22.76,22.32,22.5,18.2,182456
2021-05-21,22.64,23.025,22.59,22.77,18.42,254652
2021-05-24,22.89,22.995,22.71,22.89,18.52,157794
2021-05-25,22.94,23.2,22.44,22.44,18.15,158655
2021-05-26,22.615,22.865,22.43,22.84,18.48,190866
2021-05-27,23.22,23.4,23.03,23.38,18.91,243382
2021-05-28,23.45,23.45,22.965,23.4,18.93,283937
2021-06-01,23.69,23.8,23.53,23.635,19.12,164308
2021-06-02,23.625,23.625,23.03,23.25,18.81,322179
2021-06-03,23.06,23.445,22.87,22.925,18.67,281007
2021-06-04,22.815,22.86,22.42,22.645,18.44,613886
2021-06-07,22.66,22.69,22.355,22.51,18.33,201431
2021-06-08,22.2,22.415,21.77,22.335,18.19,347917
2021-06-09,22.1,22.1,21.86,21.9,17.84,192013
2021-06-10,22.24,22.31,21.265,21.29,17.34,205875
2021-06-11,21.4,21.625,21.31,21.515,17.52,165479
2021-06-14,21.49,21.56,21.0,21.19,17.26,268573
2021-06-15,21.225,21.54,21.015,21.28,17.33,300658
2021-06-16,21.06,21.61,20.825,21.405,17.43,248857
2021-06-17,21.62,21.64,19.775,19.81,16.13,533088
2021-06-18,19.34,19.635,19.16,19.32,15.73,479707
2021-06-21,19.51,19.975,19.51,19.855,16.17,207808
2021-06-22,19.84,20.03,19.57,19.885,16.19,192833
2021-06-23,19.98,20.195,19.935,20.03,16.31,112596
2021-06-24,20.135,20.43,19.95,20.325,16.55,159845
2021-06-25,20.48,20.695,20.345,20.6,16.78,203846
2021-06-28,20.435,20.435,20.15,20.34,16.56,162620
