date,open,high,low,close,adj_close,volume
2020-07-27,225.76,230.93,225.575,229.43,207.34,59391
2020-07-28,222.41,225.45,217.42,221.93,200.56,52054
2020-07-29,224.215,224.215,219.19,220.95,199.68,49826
2020-07-30,218.21,220.84,215.32,219.66,198.51,33877
2020-07-31,219.35,219.71,214.6,218.32,197.3,50937
2020-08-03,218.52,222.7,218.52,220.85,199.59,20371
2020-08-04,220.11,220.54,217.83,220.54,199.31,24358
2020-08-05,221.75,224.13,220.76,223.9,202.34,47613
2020-08-06,224.06,224.47,220.795,221.87,200.51,16002
2020-08-07,221.78,224.6,220.595,223.615,202.09,30759
2020-08-10,224.1,231.45,224.1,229.285,207.21,34069
2020-08-11,234.08,238.42,231.87,232.42,210.04,36872
2020-08-12,233.215,237.37,232.24,236.215,213.47,14547
2020-08-13,234.33,235.47,232.71,233.87,211.35,12372
2020-08-14,232.54,233.84,231.43,232.09,210.66,13877
2020-08-17,233.07,234.79,232.59,233.59,212.03,7577
2020-08-18,233.56,234.725,232.7,233.14,211.62,16632
2020-08-19,232.49,232.49,227.67,228.67,207.56,21023
2020-08-20,226.555,228.53,226.365,226.89,205.94,13592
2020-08-21,228.08,229.01,227.72,228.475,207.38,5595
2020-08-24,229.97,230.79,227.65,230.79,209.48,21820
2020-08-25,232.15,233.685,229.905,230.72,209.42,30391
2020-08-26,230.14,232.94,229.63,232.485,211.02,9582
2020-08-27,231.78,233.12,231.085,232.02,210.6,14188
2020-08-28,229.87,233.15,229.87,233.14,211.62,7852
2020-08-31,233.19,233.19,229.62,230.6,209.31,7884
2020-09-01,228.975,233.66,228.975,233.66,212.09,11132
2020-09-02,234.22,238.18,232.5,237.44,215.52,12013
2020-09-03,234.56,234.775,225.695,228.81,207.69,38148
2020-09-04,231.29,232.42,225.53,228.37,207.29,20340
2020-09-08,225.26,225.455,220.41,220.73,200.35,17038
2020-09-09,223.49,226.085,222.82,224.405,203.69,22417
2020-09-10,224.86,225.37,218.79,219.29,199.05,29752
2020-09-11,220.72,222.93,219.25,222.25,201.73,21891
2020-09-14,224.29,225.85,222.97,224.83,204.07,11866
2020-09-15,225.305,228.24,224.73,224.77,204.02,10679
2020-09-16,226.67,229.13,225.07,225.37,204.56,28249
2020-09-17,220.615,225.92,220.215,222.14,201.63,16503
2020-09-18,222.9,223.96,218.55,218.99,198.77,10406
2020-09-21,215.315,215.7,206.685,208.58,189.32,27225
2020-09-22,209.675,214.28,209.675,214.13,194.36,35171
2020-09-23,215.18,216.37,212.7,212.89,193.24,49835
2020-09-24,211.675,219.06,211.67,216.97,196.94,17515
2020-09-25,215.54,217.12,214.765,215.595,195.69,32885
2020-09-28,218.94,221.7,218.94,219.57,199.3,12093
2020-09-29,219.605,222.49,219.33,221.495,201.05,12009
2020-09-30,223.66,225.61,219.7,220.91,200.52,10491
2020-10-01,222.0,224.23,216.52,219.28,199.04,51548
2020-10-02,218.275,225.49,218.275,223.64,202.99,26730
2020-10-05,227.0,233.23,226.51,233.19,211.66,65728
2020-10-06,234.465,238.1,232.67,232.76,211.27,20856
2020-10-07,236.07,238.14,234.52,236.39,214.57,31927
2020-10-08,237.545,241.28,235.89,241.28,219.01,35440
2020-10-09,242.94,246.46,242.85,244.57,221.99,57380
2020-10-12,247.0,248.93,244.05,244.15,221.61,42334
2020-10-13,244.18,245.475,241.37,243.29,220.83,38286
2020-10-14,243.53,246.63,243.53,243.84,221.33,28591
2020-10-15,240.995,248.47,240.995,247.51,224.66,25644
2020-10-16,248.635,251.89,248.1,249.06,226.07,27401
2020-10-19,248.51,250.87,243.395,244.1,221.57,28683
2020-10-20,245.635,246.385,238.85,241.3,219.02,64556
2020-10-21,241.1,246.07,236.7,236.7,214.85,65491
2020-10-22,237.645,241.24,237.645,239.36,217.26,49340
2020-10-23,241.285,243.82,240.34,243.06,220.62,92914
2020-10-26,239.93,240.66,234.755,236.88,215.01,46161
2020-10-27,237.185,238.66,233.81,236.9,215.03,50887
2020-10-28,232.64,236.22,230.97,233.74,212.16,58594
2020-10-29,233.98,238.645,231.7,236.41,214.59,48140
2020-10-30,235.0,237.3,232.4,236.73,214.88,40322
2020-11-02,240.44,246.11,240.44,245.44,222.78,24088
2020-11-03,249.4,254.74,247.525,254.25,230.78,27205
2020-11-04,250.24,250.72,242.24,242.36,219.99,31260
2020-11-05,248.89,255.425,248.89,250.26,227.16,17132
2020-11-06,250.99,252.34,249.43,249.49,226.46,26979
2020-11-09,266.96,266.96,254.25,254.86,231.33,48683
2020-11-10,246.725,253.63,244.315,248.81,225.84,78025
2020-11-11,252.03,252.03,241.26,242.2,219.84,51166
2020-11-12,242.075,242.075,231.87,234.98,213.29,89859
2020-11-13,237.545,239.77,237.33,239.77,218.63,45937
2020-11-16,242.53,242.53,237.255,241.27,220.0,88617
2020-11-17,240.975,243.55,239.45,241.17,219.91,34974
2020-11-18,241.93,249.03,241.93,245.48,223.84,46109
2020-11-19,244.47,250.33,243.2,249.94,227.9,26353
2020-11-20,250.31,251.255,247.005,247.775,225.93,44291
2020-11-23,252.12,252.9,249.6,251.3,229.14,20920
2020-11-24,256.185,259.165,253.59,256.85,234.2,40657
2020-11-25,256.06,257.66,252.74,256.3,233.7,16348
2020-11-27,257.75,258.96,255.315,255.92,233.36,6565
2020-11-30,252.61,255.45,250.42,255.385,232.87,39303
2020-12-01,257.225,258.84,246.85,246.85,225.09,42448
2020-12-02,246.775,248.34,245.495,246.73,224.98,35309
2020-12-03,245.985,250.205,244.195,244.98,223.38,33786
2020-12-04,247.43,249.58,245.62,247.905,226.05,31121
2020-12-07,248.0,248.0,243.34,245.185,223.57,29777
2020-12-08,244.98,250.085,244.92,249.7,227.69,19884
2020-12-09,249.48,252.25,248.68,251.59,229.41,42795
2020-12-10,249.89,250.145,244.23,247.01,225.23,23709
2020-12-11,247.66,248.6,244.87,246.71,224.96,18535
