date,open,high,low,close,adj_close,volume
2020-07-27,111.935,115.41,111.74,114.93,113.4,37096
2020-07-28,114.645,115.805,112.76,113.02,111.52,78463
2020-07-29,119.35,121.04,117.505,119.815,118.22,275598
2020-07-30,119.07,119.93,118.31,118.79,117.21,42904
2020-07-31,118.72,118.93,117.095,118.93,117.35,41006
2020-08-03,119.67,121.91,119.5,121.85,120.23,122387
2020-08-04,121.495,121.9,120.01,120.85,119.25,48676
2020-08-05,121.515,123.18,121.375,122.17,120.55,58009
2020-08-06,122.385,122.445,118.3,119.12,117.54,44468
2020-08-07,119.63,119.815,118.7,119.325,117.74,40569
2020-08-10,119.29,119.71,118.46,118.57,117.0,37772
2020-08-11,118.55,118.98,117.53,117.66,116.1,28705
2020-08-12,118.25,120.535,117.96,119.78,118.19,42552
2020-08-13,119.745,120.515,119.055,119.985,118.39,52087
2020-08-14,119.49,120.03,117.715,118.19,116.62,13265
2020-08-17,118.71,120.16,118.71,119.65,118.06,42138
2020-08-18,119.965,119.965,117.775,118.03,116.46,74315
2020-08-19,118.37,118.905,117.365,117.66,116.1,109146
2020-08-20,117.01,117.17,116.32,116.8,115.25,43095
2020-08-21,116.65,117.26,116.65,116.89,115.34,46590
2020-08-24,117.72,118.255,114.78,115.225,113.7,39447
2020-08-25,115.89,116.585,115.22,116.21,114.67,25831
2020-08-26,116.325,119.79,116.06,119.38,117.8,31798
2020-08-27,114.94,115.77,111.455,114.51,112.99,124784
2020-08-28,114.765,116.93,114.765,116.93,115.38,32759
2020-08-31,117.28,118.39,116.85,117.79,116.23,42583
2020-09-01,118.92,119.525,117.87,119.38,117.8,97913
2020-09-02,120.39,122.27,119.47,122.075,120.45,24582
2020-09-03,120.68,120.68,114.86,116.25,114.71,56673
2020-09-04,115.9,116.12,111.9,114.38,112.86,23752
2020-09-08,112.17,113.33,111.59,112.02,110.53,32586
2020-09-09,112.755,114.94,112.755,114.29,112.77,11688
2020-09-10,114.84,116.42,113.175,113.52,112.01,28949
2020-09-11,116.07,119.51,115.66,117.68,116.12,42473
2020-09-14,118.47,118.845,117.19,117.86,116.3,31182
2020-09-15,118.225,119.12,118.165,118.34,116.77,21067
2020-09-16,119.355,120.56,119.22,120.31,118.71,25827
2020-09-17,118.71,121.24,118.645,119.525,117.94,24717
2020-09-18,119.435,120.07,117.59,118.17,116.6,61888
2020-09-21,116.495,118.45,115.1,118.32,116.75,32353
2020-09-22,118.28,120.09,117.47,119.86,118.27,22717
2020-09-23,119.52,120.48,117.515,117.55,115.99,21884
2020-09-24,117.48,118.31,116.45,118.015,116.45,33162
2020-09-25,117.94,120.585,116.97,119.83,118.24,19282
2020-09-28,121.43,122.43,120.98,121.74,120.12,21291
2020-09-29,122.28,124.57,122.28,123.27,121.63,66326
2020-09-30,124.05,126.08,124.0,125.65,123.98,62131
2020-10-01,127.255,128.81,123.765,124.87,123.21,101064
2020-10-02,122.89,125.1,122.495,124.67,123.02,40111
2020-10-05,125.42,129.78,125.42,129.71,127.99,48695
2020-10-06,129.715,129.84,124.9,126.68,125.0,36934
2020-10-07,127.395,129.245,127.38,128.24,126.54,33819
2020-10-08,128.42,128.42,126.82,127.63,125.94,47343
2020-10-09,128.21,129.8,128.0,129.76,128.04,52119
2020-10-12,133.55,133.86,127.72,128.4,126.7,98383
2020-10-13,127.67,128.77,124.38,124.71,123.05,89421
2020-10-14,124.84,125.235,121.2,121.955,120.34,70903
2020-10-15,120.85,124.11,119.95,123.37,121.8,47632
2020-10-16,124.24,125.45,123.76,124.08,122.5,35131
2020-10-19,124.39,125.015,122.095,122.2,120.65,48154
2020-10-20,122.87,124.615,122.75,123.42,121.85,44980
2020-10-21,123.84,124.82,123.31,123.45,121.88,53089
2020-10-22,123.465,125.91,123.1,125.14,123.55,70013
2020-10-23,125.395,125.395,122.82,124.51,122.93,43681
2020-10-26,123.065,124.62,122.29,123.99,122.41,38748
2020-10-27,124.55,128.12,124.545,127.055,125.44,64107
2020-10-28,125.46,125.82,124.0,124.41,122.83,82107
2020-10-29,127.0,132.505,124.4,128.87,127.23,127730
2020-10-30,128.17,129.54,125.61,129.54,127.89,67324
2020-11-02,130.415,133.94,130.415,132.665,130.98,136271
2020-11-03,134.0,135.29,132.54,133.22,131.53,67369
2020-11-04,134.76,135.91,133.455,135.03,133.31,57950
2020-11-05,137.68,139.69,136.54,138.3,136.54,41462
2020-11-06,138.775,142.6,138.115,141.23,139.44,54178
2020-11-09,135.925,136.36,123.96,128.11,126.48,207445
2020-11-10,128.13,129.09,123.71,125.47,123.88,88791
2020-11-11,127.0,130.62,127.0,128.84,127.2,68384
2020-11-12,129.48,131.79,129.48,130.55,128.89,39764
2020-11-13,132.12,132.6,130.86,132.18,130.5,88476
2020-11-16,132.57,134.33,131.8,133.35,131.66,70787
2020-11-17,132.395,133.95,132.395,133.0,131.31,64906
2020-11-18,133.12,133.12,127.54,128.71,127.07,52867
2020-11-19,128.93,131.05,128.24,130.88,129.22,37774
2020-11-20,130.91,131.2,129.89,130.15,128.5,69054
2020-11-23,130.29,130.295,125.81,127.89,126.26,52535
2020-11-24,128.18,128.63,126.17,127.02,125.41,95742
2020-11-25,127.37,127.64,126.615,127.56,125.94,78019
2020-11-27,128.55,129.16,127.85,129.09,127.45,12437
2020-11-30,129.895,133.0,129.445,132.99,131.3,62040
2020-12-01,133.5,137.38,132.08,137.15,135.41,79442
2020-12-02,137.405,139.275,135.87,138.62,136.86,59771
2020-12-03,138.135,139.29,137.67,138.05,136.3,42279
2020-12-04,138.62,141.87,138.46,141.82,140.02,67659
2020-12-07,141.715,144.115,141.715,143.95,142.12,38430
2020-12-08,143.77,148.38,143.5,147.96,146.08,43076
2020-12-09,147.34,147.34,142.98,143.94,142.11,56804
2020-12-10,144.035,146.65,143.44,145.99,144.13,32021
2020-12-11,146.155,146.47,144.46,146.09,144.23,43216
2020-12-14,148.0,149.79,145.37,145.37,143.52,32054
2020-12-15,146.105,147.775,145.09,145.21,143.36,64778
2020-12-16,144.81,145.03,140.64,140.77,138.98,70921
2020-12-17,142.46,143.555,141.155,143.38,141.56,28842
2020-12-18,143.55,143.55,140.8,142.72,140.91,31543
2020-12-21,141.4,141.4,137.67,140.7,138.91,28792
2020-12-22,141.0,141.38,139.16,139.93,138.15,16546
2020-12-23,139.87,140.2,137.75,139.32,137.55,18911
2020-12-24,139.3,140.01,138.66,139.805,138.03,8971
2020-12-28,140.885,141.47,139.17,140.67,138.88,30147
2020-12-29,142.19,142.19,139.63,139.83,138.05,24630
2020-12-30,140.65,140.925,139.53,140.57,138.78,23526
2020-12-31,140.67,143.57,140.06,143.57,141.75,31311
2021-01-04,144.25,147.46,142.48,145.55,143.7,92896
2021-01-05,145.68,152.48,145.68,151.735,149.81,70140
2021-01-06,150.775,157.975,150.775,156.37,154.38,80238
2021-01-07,161.04,162.155,159.235,160.6,158.56,69246
2021-01-08,160.58,162.355,157.67,159.84,157.81,77613
2021-01-11,159.3,162.675,157.635,159.13,157.11,91293
2021-01-12,158.98,159.27,150.895,151.94,150.01,207046
2021-01-13,153.755,153.755,151.04,151.41,149.49,56484
2021-01-14,152.34,152.69,148.04,148.235,146.35,57014
2021-01-15,148.37,149.33,146.14,148.55,146.66,34409
2021-01-19,150.91,151.18,147.47,149.35,147.45,37977
2021-01-20,150.2,151.96,149.875,151.325,149.4,33429
2021-01-21,151.68,151.87,148.685,150.62,148.77,38197
2021-01-22,151.12,152.24,149.86,151.99,150.13,37643
2021-01-25,152.99,153.39,149.405,151.04,149.19,36232
2021-01-26,150.73,150.93,146.12,146.29,144.5,34492
2021-01-27,143.27,144.91,140.27,141.68,139.94,66271
2021-01-28,144.33,147.36,144.08,144.925,143.15,46281
2021-01-29,144.295,149.58,144.295,147.06,145.26,66414
2021-02-01,148.25,153.865,148.25,152.03,150.17,123272
2021-02-02,153.73,156.485,150.92,151.41,149.56,87911
2021-02-03,149.34,151.5,139.66,139.69,137.98,208763
2021-02-04,139.975,142.33,137.5,142.33,140.59,67487
2021-02-05,143.16,145.88,142.86,145.005,143.23,44837
2021-02-08,146.065,147.155,142.415,144.53,142.76,41112
2021-02-09,144.11,146.62,143.01,145.5,143.72,32131
2021-02-10,147.6,148.84,145.38,147.23,145.43,38078
2021-02-11,148.39,149.5,147.33,148.65,146.83,23041
2021-02-12,148.0,151.79,148.0,150.74,148.89,40420
2021-02-16,150.215,151.46,145.805,146.35,144.56,51648
2021-02-17,146.16,147.01,142.72,144.41,142.64,48286
2021-02-18,142.25,143.89,141.22,142.54,140.79,60557
2021-02-19,143.26,143.26,136.76,136.76,135.08,70437
2021-02-22,135.08,135.39,128.22,129.68,128.09,133656
2021-02-23,127.38,131.86,127.38,131.015,129.41,84802
2021-02-24,131.385,131.385,128.15,128.72,127.14,42229
2021-02-25,128.11,128.585,125.0,125.93,124.39,57984
2021-02-26,126.78,126.8,125.1,126.15,124.6,78236
2021-03-01,127.58,130.1,127.2,129.71,128.12,66924
2021-03-02,129.855,130.59,127.465,127.49,125.93,59208
2021-03-03,126.6,127.75,126.27,126.37,124.82,53077
2021-03-04,125.25,126.47,123.33,124.25,122.73,98214
2021-03-05,125.25,125.43,121.29,124.03,122.51,94826
2021-03-08,124.33,126.265,121.59,121.59,120.1,44430
