date,open,high,low,close,adj_close,volume
2020-07-27,34.645,34.645,33.655,33.82,31.18,347451
2020-07-28,33.65,34.02,33.57,33.655,31.02,240808
2020-07-29,33.585,34.105,33.45,34.08,31.42,232833
2020-07-30,33.54,33.725,32.915,33.58,30.96,236010
2020-07-31,33.26,33.425,32.66,33.155,30.56,413526
2020-08-03,33.18,33.62,32.795,33.335,30.73,268309
2020-08-04,33.21,33.94,33.18,33.94,31.29,280454
2020-08-05,34.23,34.355,33.885,34.195,31.52,386842
2020-08-06,33.76,33.945,33.025,33.12,30.69,199379
2020-08-07,33.085,34.055,32.865,34.0,31.51,158000
2020-08-10,34.04,34.255,33.56,33.805,31.33,95983
2020-08-11,34.51,35.545,34.43,34.965,32.4,270993
2020-08-12,35.535,35.98,34.765,34.865,32.31,472279
2020-08-13,34.35,34.915,34.115,34.605,32.07,544199
2020-08-14,34.38,35.45,34.33,35.055,32.49,477555
2020-08-17,34.93,35.275,34.51,34.625,32.09,183803
2020-08-18,34.595,34.995,34.245,34.925,32.37,413274
2020-08-19,35.07,35.895,35.04,35.71,33.09,248421
2020-08-20,35.2,35.335,34.48,34.55,32.02,288664
2020-08-21,34.455,34.89,34.235,34.45,31.93,268530
2020-08-24,34.49,35.5,34.46,35.11,32.54,248659
2020-08-25,35.49,35.86,35.255,35.545,32.94,179633
2020-08-26,35.275,35.71,35.16,35.405,32.81,144367
2020-08-27,35.36,36.365,35.135,36.075,33.43,218213
2020-08-28,36.2,36.46,35.86,36.255,33.6,177038
2020-08-31,35.96,35.98,35.455,35.575,32.97,381512
2020-09-01,35.08,36.245,34.99,35.8,33.18,208288
2020-09-02,35.785,36.11,35.485,35.985,33.35,256330
2020-09-03,36.36,36.86,35.21,35.4,32.81,532816
2020-09-04,36.12,36.88,35.63,36.2,33.55,305284
2020-09-08,35.47,35.69,34.64,34.64,32.1,349078
2020-09-09,34.83,35.26,34.59,35.04,32.47,122039
2020-09-10,35.13,35.365,34.555,34.64,32.1,119015
2020-09-11,34.76,35.56,34.72,35.255,32.67,109009
2020-09-14,35.51,36.16,35.365,35.8,33.18,185016
2020-09-15,34.72,35.105,33.81,34.765,32.22,1051678
