date,open,high,low,close,adj_close,volume
2020-07-27,27.64,28.4,27.64,28.395,2.84,12092
2020-07-28,28.105,28.59,28.0,28.19,2.819,16413
2020-07-29,28.59,29.47,28.59,29.45,2.945,12287
2020-07-30,29.09,29.86,29.08,29.71,2.971,8686
2020-07-31,29.72,30.29,29.505,30.29,3.029,14314
2020-08-03,30.65,31.09,30.26,30.34,3.034,17056
2020-08-04,30.31,30.605,30.125,30.275,3.028,14387
2020-08-05,30.37,31.1,30.18,30.82,3.082,15508
2020-08-06,30.56,30.615,29.86,30.06,3.006,15233
2020-08-07,29.97,30.5,29.75,30.12,3.012,15060
2020-08-10,30.36,30.545,30.15,30.15,3.015,18380
2020-08-11,30.49,31.155,30.35,30.415,3.042,44868
2020-08-12,27.81,27.96,25.635,26.01,2.601,120858
2020-08-13,26.04,26.185,25.43,26.0,2.6,111732
2020-08-14,25.67,26.225,25.61,26.085,2.609,38610
2020-08-17,26.08,26.15,25.59,25.715,2.572,16087
2020-08-18,25.75,25.88,25.39,25.84,2.584,21941
2020-08-19,26.135,26.33,25.885,25.915,2.592,16406
2020-08-20,25.61,26.2,25.61,26.2,2.62,30274
2020-08-21,26.07,26.495,25.99,26.495,2.65,6453
2020-08-24,26.62,26.94,26.33,26.63,2.663,14170
2020-08-25,26.68,26.895,26.275,26.68,2.668,13158
2020-08-26,26.12,26.51,25.72,26.02,2.602,27909
2020-08-27,26.09,26.29,25.88,26.2,2.62,25715
2020-08-28,27.2,27.35,26.97,27.07,2.707,51400
2020-08-31,27.02,27.87,27.02,27.35,2.735,52946
2020-09-01,27.375,27.5,26.71,27.06,2.706,27984
2020-09-02,27.03,27.475,26.495,27.32,2.732,39105
2020-09-03,27.16,27.265,25.765,25.84,2.584,33519
2020-09-04,25.795,25.85,24.96,25.57,2.557,5606
2020-09-08,24.82,25.73,24.82,25.31,2.531,9334
2020-09-09,25.29,26.41,25.29,26.15,2.615,13253
2020-09-10,26.05,26.235,25.38,25.445,2.545,18470
2020-09-11,25.62,25.765,25.34,25.64,2.564,7035
2020-09-14,25.94,26.38,25.92,26.36,2.636,8344
2020-09-15,26.645,26.76,26.09,26.17,2.617,9887
2020-09-16,26.395,26.56,26.24,26.26,2.626,10764
2020-09-17,26.14,26.49,26.04,26.36,2.636,5582
2020-09-18,26.55,27.08,26.5,26.93,2.693,9829
2020-09-21,26.28,26.28,25.74,25.905,2.591,11521
2020-09-22,26.35,26.35,25.37,26.0,2.6,12716
2020-09-23,26.39,26.39,25.06,25.12,2.512,8751
2020-09-24,24.97,25.89,24.97,25.48,2.548,3978
2020-09-25,25.4,25.99,25.4,25.71,2.571,7978
2020-09-28,26.135,26.5,26.135,26.475,2.648,5272
2020-09-29,26.74,26.805,26.51,26.76,2.676,6172
2020-09-30,26.95,27.065,26.35,26.39,2.639,6271
2020-10-01,26.72,26.72,26.03,26.14,2.614,8934
2020-10-02,25.98,26.195,25.78,25.82,2.582,6727
2020-10-05,26.24,26.85,26.1,26.76,2.676,12279
2020-10-06,26.92,27.12,26.41,26.54,2.654,7219
2020-10-07,26.905,27.23,26.78,27.03,2.703,5903
2020-10-08,27.44,27.64,27.31,27.6,2.76,4407
2020-10-09,27.79,27.91,27.66,27.72,2.772,5065
2020-10-12,28.03,28.1,27.825,27.885,2.789,16031
2020-10-13,27.45,27.995,27.36,27.805,2.781,5905
2020-10-14,27.81,27.81,27.38,27.51,2.751,3871
2020-10-15,27.145,27.145,27.14,27.14,2.714,466
2020-10-16,27.685,27.7,27.26,27.3,2.73,3441
2020-10-19,27.285,27.29,26.6,26.6,2.66,5555
2020-10-20,26.87,26.87,26.41,26.52,2.652,4381
2020-10-21,26.62,26.69,26.09,26.145,2.615,8054
2020-10-22,26.12,26.79,25.905,26.74,2.674,6801
2020-10-23,26.8,26.8,25.295,25.445,2.545,18758
2020-10-26,25.07,25.085,24.05,24.23,2.423,10565
2020-10-27,24.39,24.39,23.725,23.74,2.374,23914
2020-10-28,23.0,23.32,22.18,22.205,2.221,9651
2020-10-29,22.09,23.17,21.995,23.14,2.314,10574
2020-10-30,22.99,23.2,22.47,22.55,2.255,16277
2020-11-02,22.83,23.16,22.69,22.93,2.293,22331
2020-11-03,23.5,23.5,22.985,23.2,2.32,25642
2020-11-04,26.75,28.6,26.495,28.37,2.837,41826
2020-11-05,28.47,28.645,27.43,28.645,2.865,21363
2020-11-06,28.26,28.405,27.92,27.995,2.8,30490
2020-11-09,28.915,29.86,27.79,27.79,2.779,19330
2020-11-10,27.74,28.3,27.58,27.765,2.777,17547
2020-11-11,27.975,28.72,27.96,28.49,2.849,19974
2020-11-12,28.295,28.675,28.25,28.4,2.84,10653
2020-11-13,28.5,29.725,28.5,29.5,2.95,10935
2020-11-16,29.94,29.94,29.435,29.495,2.95,13805
2020-11-17,29.2,29.805,29.2,29.45,2.945,5816
2020-11-18,29.795,30.0,29.54,29.54,2.954,15487
2020-11-19,29.67,30.0,29.59,29.99,2.999,7884
2020-11-20,29.76,29.975,29.66,29.95,2.995,10896
2020-11-23,29.935,30.0,29.34,29.35,2.935,17571
2020-11-24,29.68,29.68,28.845,29.11,2.911,21515
2020-11-25,28.945,29.47,28.87,29.32,2.932,7753
2020-11-27,29.535,29.875,29.535,29.74,2.974,8911
2020-11-30,29.55,29.55,28.15,28.22,2.822,17406
2020-12-01,28.48,29.28,28.48,28.87,2.887,21982
2020-12-02,28.63,29.36,28.46,29.14,2.914,10336
2020-12-03,29.475,29.96,29.29,29.69,2.969,9520
2020-12-04,29.765,30.68,29.765,30.64,3.064,8076
2020-12-07,30.67,31.5,30.67,30.98,3.098,12504
2020-12-08,31.035,31.105,30.83,30.94,3.094,5833
2020-12-09,31.02,31.175,30.14,30.37,3.037,10130
2020-12-10,29.775,30.5,29.775,30.42,3.042,3832
2020-12-11,30.02,30.34,29.75,29.91,2.991,8106
2020-12-14,30.05,30.05,29.24,29.24,2.924,18282
2020-12-15,29.49,30.0,29.205,29.92,2.992,21062
2020-12-16,30.02,30.03,29.95,29.98,2.998,31680
2020-12-17,29.905,30.025,29.73,29.95,2.995,9857
2020-12-18,30.04,30.8,29.86,30.5,3.05,21403
2020-12-21,29.99,30.11,29.59,29.95,2.995,7574
2020-12-22,30.005,30.26,29.67,29.8,2.98,5069
2020-12-23,29.795,30.5,29.795,30.3,3.03,17492
2020-12-24,30.29,30.54,30.29,30.52,3.052,5638
2020-12-28,30.71,30.88,30.52,30.55,3.055,4555
2020-12-29,30.43,30.655,30.38,30.52,3.052,19479
2020-12-30,30.51,30.56,30.425,30.52,3.052,9780
2020-12-31,30.515,31.75,30.39,31.75,3.175,8178
2021-01-04,31.945,32.02,30.83,31.05,3.105,4754
2021-01-05,31.06,31.57,31.0,31.15,3.115,3712
2021-01-06,31.225,32.3,31.225,31.82,3.182,12799
2021-01-07,33.01,33.08,31.975,32.255,3.226,19627
2021-01-08,32.2,32.43,31.57,31.88,3.188,6151
2021-01-11,32.08,32.16,31.93,32.085,3.209,8209
2021-01-12,32.1,32.72,32.02,32.38,3.238,17796
2021-01-13,32.475,32.89,32.29,32.56,3.256,11503
2021-01-14,33.0,33.0,32.58,32.58,3.258,9873
2021-01-15,32.59,32.87,32.3,32.34,3.234,21718
2021-01-19,32.645,32.74,32.16,32.43,3.243,7646
2021-01-20,32.99,33.795,32.84,33.71,3.371,8211
2021-01-21,33.9,34.055,33.455,33.77,3.377,11798
2021-01-22,33.4,34.3,33.11,34.22,3.422,16960
2021-01-25,34.22,34.98,34.16,34.67,3.467,15383
2021-01-26,34.63,34.63,33.625,33.695,3.37,7719
2021-01-27,32.865,33.055,32.17,32.23,3.223,6591
2021-01-28,32.03,32.21,31.48,31.97,3.197,4764
2021-01-29,31.83,31.83,30.6,30.995,3.1,8423
2021-02-01,31.73,31.885,31.185,31.56,3.156,5861
2021-02-02,31.72,32.05,31.445,31.775,3.177,11667
2021-02-03,32.855,34.43,32.52,33.05,3.305,16796
2021-02-04,32.585,32.97,32.58,32.88,3.288,6359
2021-02-05,32.19,32.19,31.45,31.91,3.191,4720
2021-02-08,32.48,33.85,32.45,33.785,3.379,7366
2021-02-09,33.845,34.03,33.36,33.795,3.38,3873
2021-02-10,33.97,33.975,33.52,33.8,3.38,3616
2021-02-11,34.09,34.4,33.98,34.145,3.415,5783
2021-02-12,33.21,33.295,31.66,31.94,3.194,12814
2021-02-16,32.39,32.66,31.79,31.915,3.192,10314
2021-02-17,31.625,31.73,31.11,31.605,3.161,4572
2021-02-18,31.68,31.855,31.34,31.65,3.165,11592
2021-02-19,31.79,31.79,31.36,31.65,3.165,8933
2021-02-22,31.305,32.14,31.305,31.855,3.186,10402
2021-02-23,31.02,32.93,30.67,32.66,3.266,40987
2021-02-24,32.79,33.965,32.72,33.65,3.365,11959
2021-02-25,33.18,33.66,32.53,32.57,3.257,6809
2021-02-26,32.06,33.2,32.06,32.65,3.265,10128
2021-03-01,33.17,34.33,33.17,34.23,3.423,2334
2021-03-02,33.97,34.54,33.82,34.22,3.422,3334
2021-03-03,34.2,34.58,33.75,33.85,3.385,4426
2021-03-04,33.43,33.5,32.27,32.55,3.255,7720
2021-03-05,32.99,33.95,32.79,33.95,3.395,5752
2021-03-08,34.68,35.275,34.505,34.6,3.46,11358
2021-03-09,34.94,35.195,34.27,34.27,3.427,3446
2021-03-10,34.765,35.68,34.745,35.585,3.559,6880
2021-03-11,35.82,36.435,35.79,35.8,3.58,6272
2021-03-12,35.76,36.63,35.47,36.46,3.646,3135
2021-03-15,36.46,37.17,36.12,37.13,3.713,5021
2021-03-16,37.17,37.28,36.87,37.07,3.707,2558
2021-03-17,36.875,38.28,36.81,38.28,3.828,10542
2021-03-18,37.98,38.785,37.98,38.21,3.821,11852
2021-03-19,37.57,38.72,37.5,38.51,3.851,11652
2021-03-22,38.72,39.31,37.95,38.88,3.888,11523
2021-03-23,38.46,38.57,37.475,37.67,3.767,33572
2021-03-24,38.395,38.395,37.31,37.31,3.731,9088
2021-03-25,37.21,37.595,36.79,37.08,3.708,29074
2021-03-26,38.12,38.265,37.73,38.085,3.809,27110
2021-03-29,38.09,38.25,37.325,37.45,3.745,5357
2021-03-30,37.4,38.19,37.155,37.89,3.789,6823
2021-03-31,38.38,39.3,38.38,39.11,3.911,7948
2021-04-01,39.4,39.5,39.07,39.5,3.95,5357
2021-04-05,39.99,40.3,39.77,40.05,4.005,8397
2021-04-06,40.0,40.055,39.33,39.385,3.939,3606
2021-04-07,39.57,39.57,39.185,39.305,3.931,5508
2021-04-08,39.44,39.725,39.31,39.48,3.948,22657
2021-04-09,39.44,39.725,39.3,39.64,3.964,4806
2021-04-12,39.39,40.51,39.385,40.03,4.003,19228
2021-04-13,39.52,39.79,39.35,39.53,3.953,1412
2021-04-14,39.68,39.8,39.24,39.285,3.928,7221
2021-04-15,39.37,39.56,39.19,39.19,3.919,6503
2021-04-16,39.27,39.71,39.06,39.19,3.919,6262
2021-04-19,39.055,39.055,38.31,38.585,3.859,3373
2021-04-20,38.43,38.43,37.69,37.83,3.783,4400
2021-04-21,38.33,38.535,38.205,38.535,3.853,11018
2021-04-22,38.02,38.185,37.65,37.79,3.779,8756
2021-04-23,38.26,38.54,38.18,38.285,3.828,6668
2021-04-26,38.45,38.955,38.265,38.66,3.866,9861
2021-04-27,38.72,38.72,38.31,38.495,3.85,6832
2021-04-28,38.23,38.335,38.08,38.13,3.813,4872
