date,open,high,low,close,adj_close,volume
2020-07-27,141.405,146.01,139.585,145.71,124.64,22532
2020-07-28,143.83,144.44,142.73,142.98,122.3,16743
2020-07-29,144.445,146.13,143.7,146.025,124.91,11342
2020-07-30,143.47,146.7,142.365,145.4,124.37,49369
2020-07-31,146.165,146.165,142.02,145.95,124.84,71325
2020-08-03,145.29,145.645,141.32,143.5,122.75,34105
2020-08-04,143.075,144.435,142.36,143.69,122.91,26719
2020-08-05,146.02,148.48,145.9,148.48,127.01,21616
2020-08-06,146.94,148.255,145.92,146.39,125.22,11351
2020-08-07,146.665,147.355,145.63,147.32,126.02,15284
2020-08-10,147.86,151.785,147.86,150.085,128.38,7430
2020-08-11,153.425,155.3,152.86,153.91,131.65,17809
2020-08-12,154.325,154.75,152.315,153.57,131.36,8277
2020-08-13,153.13,153.86,152.87,153.28,131.11,8090
2020-08-14,152.49,155.15,152.49,153.72,131.49,8129
2020-08-17,153.805,154.14,151.655,153.145,131.0,13055
2020-08-18,153.47,154.0,151.67,151.67,129.74,24988
2020-08-19,152.47,152.47,150.02,150.26,129.45,20335
2020-08-20,149.345,149.75,148.175,148.89,128.27,17722
2020-08-21,148.96,149.16,147.25,147.99,127.5,8354
2020-08-24,148.11,149.855,148.11,149.21,128.55,10238
2020-08-25,149.76,149.76,146.41,147.86,127.38,6817
2020-08-26,147.73,148.15,147.07,147.27,126.88,3592
2020-08-27,149.43,149.43,147.43,147.755,127.29,8605
2020-08-28,148.175,150.755,147.34,150.46,129.62,9173
2020-08-31,149.37,149.98,148.115,148.26,127.73,6196
2020-09-01,146.985,151.355,146.985,151.355,130.4,8639
2020-09-02,151.91,155.335,151.57,155.225,133.73,22572
2020-09-03,155.525,156.27,150.15,150.92,130.02,10951
2020-09-04,154.22,154.985,151.03,151.32,130.37,15962
2020-09-08,150.715,150.81,147.62,147.88,127.4,12291
2020-09-09,149.3,151.56,148.99,150.35,129.53,6987
2020-09-10,151.475,151.475,147.575,147.93,127.45,9446
2020-09-11,148.09,148.77,146.2,147.91,127.43,8621
2020-09-14,148.955,153.19,148.955,152.97,131.79,8428
2020-09-15,152.89,153.95,152.69,152.915,131.74,13405
2020-09-16,150.37,150.37,146.95,149.09,128.44,14206
2020-09-17,147.37,150.485,146.46,148.71,128.12,11189
2020-09-18,149.105,150.6,147.45,147.48,127.06,7635
2020-09-21,143.205,143.205,139.25,140.93,121.41,12659
2020-09-22,142.465,144.76,141.56,144.55,124.53,21563
2020-09-23,145.915,146.26,140.685,141.06,121.53,18233
2020-09-24,139.375,143.03,139.355,141.26,121.7,11576
