date,open,high,low,close,adj_close,volume
2020-07-27,60.17,61.96,59.04,61.96,44.89,67211
2020-07-28,61.45,65.05,61.45,64.12,46.45,87306
2020-07-29,64.47,65.625,62.69,65.54,47.48,76238
2020-07-30,63.35,64.56,62.8,63.56,46.05,51901
2020-07-31,63.23,63.83,61.51,62.34,45.16,89649
2020-08-03,60.94,61.755,60.01,61.055,44.23,64804
2020-08-04,61.19,63.55,61.09,63.04,45.67,65900
2020-08-05,64.37,64.37,62.32,62.55,45.31,95351
2020-08-06,62.555,62.68,61.2,61.2,44.34,178946
2020-08-07,61.035,62.51,60.54,62.1,44.99,261397
2020-08-10,65.22,69.06,63.88,65.36,47.35,383865
2020-08-11,68.285,70.98,66.86,67.19,48.68,367994
2020-08-12,67.8,68.91,65.635,67.85,49.15,253468
2020-08-13,66.98,68.19,65.73,66.03,47.84,131605
2020-08-14,65.54,68.45,65.22,68.18,49.39,174136
2020-08-17,68.115,68.285,66.285,68.17,49.39,59261
2020-08-18,67.32,67.37,64.49,65.13,47.18,71032
2020-08-19,65.14,65.59,63.755,63.82,46.23,77531
2020-08-20,63.16,65.43,62.98,64.83,46.97,54397
2020-08-21,64.76,65.47,64.01,64.54,46.76,31971
2020-08-24,65.05,68.515,63.97,68.485,49.61,153285
2020-08-25,69.31,69.83,66.595,68.645,49.73,120168
2020-08-26,67.91,68.41,65.76,66.27,48.01,59569
2020-08-27,66.695,69.035,66.695,67.55,48.94,117221
2020-08-28,68.09,69.88,67.07,69.855,50.61,63499
2020-08-31,69.66,69.67,67.46,67.87,49.17,97084
2020-09-01,66.23,67.8,65.955,67.22,48.7,86615
2020-09-02,66.44,68.0,66.05,67.83,49.14,60601
2020-09-03,68.52,70.915,67.01,68.01,49.27,135443
2020-09-04,69.75,72.41,68.87,70.23,50.88,99895
2020-09-08,69.615,70.71,68.83,70.09,50.78,63973
2020-09-09,69.835,70.09,68.025,68.86,49.89,70221
2020-09-10,68.585,69.69,66.02,66.19,47.95,209330
2020-09-11,66.28,66.44,63.38,64.15,46.47,115098
2020-09-14,64.885,67.89,64.78,67.84,49.15,68626
2020-09-15,67.96,71.81,67.87,71.085,51.5,87700
2020-09-16,70.945,75.185,70.095,74.07,53.66,172152
2020-09-17,71.47,74.16,70.895,71.88,52.07,78410
2020-09-18,71.9,71.9,69.65,69.81,50.57,107078
2020-09-21,67.025,67.12,64.45,64.81,46.95,114505
2020-09-22,65.065,67.01,64.76,65.11,47.17,157139
2020-09-23,65.53,66.65,62.745,62.855,45.54,97111
2020-09-24,62.145,64.12,59.64,62.81,45.5,99217
2020-09-25,62.315,63.905,62.315,63.58,46.06,73544
2020-09-28,65.96,66.415,64.885,65.73,47.62,70484
2020-09-29,65.27,65.27,62.93,63.99,46.36,93408
2020-09-30,64.25,66.095,63.78,64.695,46.87,102540
2020-10-01,64.915,66.56,64.265,66.56,48.22,177688
2020-10-02,64.11,68.5,64.1,68.22,49.42,180219
2020-10-05,68.62,69.3,67.45,68.83,49.86,201830
2020-10-06,69.68,72.565,69.11,69.89,50.63,286661
2020-10-07,70.73,72.15,70.2,71.045,51.47,148068
