date,open,high,low,close,adj_close,volume
2020-07-27,48.12,49.59,48.0,49.55,40.92,101945
2020-07-28,49.6,49.98,48.57,48.835,40.33,247927
2020-07-29,44.99,45.63,43.53,44.27,36.56,592519
2020-07-30,43.83,44.455,43.685,44.395,36.67,147743
2020-07-31,44.42,45.395,44.2,45.2,37.33,118234
2020-08-03,45.07,45.565,44.66,44.74,36.95,80656
2020-08-04,45.035,45.77,44.82,45.385,37.48,100763
2020-08-05,45.56,45.63,44.725,45.14,37.28,144756
2020-08-06,44.39,45.005,44.21,44.955,37.13,75245
2020-08-07,44.855,45.49,44.49,45.315,37.43,64333
2020-08-10,45.525,46.56,45.525,46.07,38.05,243587
2020-08-11,46.54,46.7,45.7,45.805,37.83,54914
2020-08-12,45.83,45.9,45.285,45.655,37.71,60769
2020-08-13,45.38,45.44,44.555,44.9,37.08,103877
2020-08-14,44.935,45.31,44.885,45.05,37.21,46252
2020-08-17,45.195,45.415,44.85,44.885,37.07,61988
2020-08-18,44.835,45.2,44.55,45.085,37.24,96321
2020-08-19,45.19,45.965,45.19,45.415,37.51,103579
2020-08-20,44.98,45.255,44.66,45.03,37.19,35828
2020-08-21,44.565,44.91,44.565,44.885,37.07,36114
2020-08-24,45.02,45.57,44.775,45.545,37.62,57935
2020-08-25,45.52,46.13,45.155,45.42,37.51,28298
2020-08-26,45.35,45.78,45.255,45.78,37.81,35549
2020-08-27,46.07,46.11,45.32,45.59,37.65,58495
2020-08-28,45.8,46.885,45.54,46.635,38.52,81328
2020-08-31,47.11,48.195,46.74,48.035,39.67,110728
2020-09-01,47.85,47.875,46.345,47.055,38.86,44526
2020-09-02,47.115,48.85,47.115,48.635,40.17,54788
2020-09-03,48.35,48.37,46.775,47.18,38.97,81262
2020-09-04,47.39,47.71,46.16,47.045,38.85,144413
2020-09-08,46.05,46.155,45.26,45.745,37.78,131226
2020-09-09,46.575,46.72,46.12,46.275,38.22,65078
2020-09-10,46.695,46.9,45.805,45.95,37.95,52800
2020-09-11,46.025,46.69,45.91,46.575,38.47,67674
2020-09-14,47.28,47.815,47.21,47.705,39.4,75494
2020-09-15,47.74,48.105,47.195,47.365,39.12,59405
2020-09-16,47.7,49.245,47.7,48.645,40.18,162480
2020-09-17,47.72,49.165,47.56,49.075,40.53,63553
2020-09-18,49.27,49.39,48.26,48.805,40.31,87984
2020-09-21,47.95,48.305,47.355,48.205,39.81,50419
