date,open,high,low,close,adj_close,volume
2020-07-27,152.71,158.17,152.07,157.585,129.72,41033
2020-07-28,156.13,156.25,152.33,152.78,125.76,42884
2020-07-29,154.1,156.21,153.7,156.04,128.45,40942
2020-07-30,153.755,156.95,150.97,154.415,127.11,52507
2020-07-31,153.495,153.545,148.9,153.3,126.19,44159
2020-08-03,153.125,155.82,153.125,154.36,127.06,30771
2020-08-04,153.835,155.88,153.695,154.39,127.09,44690
2020-08-05,156.1,157.85,156.1,157.41,129.57,40258
2020-08-06,157.24,157.37,154.88,155.01,127.6,19573
2020-08-07,155.29,157.29,154.52,157.29,129.48,46631
2020-08-10,157.995,160.74,157.995,159.98,131.69,57977
2020-08-11,162.14,163.78,160.78,161.39,132.85,62242
2020-08-12,162.51,162.51,159.68,160.57,132.18,10578
2020-08-13,159.46,160.2,158.32,158.43,130.41,46481
2020-08-14,157.875,159.815,157.705,158.77,130.69,14087
2020-08-17,158.96,160.03,158.61,159.79,131.53,17073
2020-08-18,159.87,161.94,159.64,159.9,131.62,62456
2020-08-19,159.87,160.74,158.54,158.99,130.87,21531
2020-08-20,156.43,158.54,156.305,158.235,130.25,30466
2020-08-21,157.84,159.76,157.84,159.12,130.98,16983
2020-08-24,159.8,160.89,159.59,160.295,131.95,24830
2020-08-25,160.44,160.67,158.72,159.69,131.45,10858
2020-08-26,159.19,160.26,158.94,159.675,131.44,11738
2020-08-27,160.815,161.41,159.43,159.48,131.28,10963
2020-08-28,161.44,165.54,161.32,165.54,136.27,39586
2020-08-31,163.065,163.065,161.295,161.38,133.41,27914
2020-09-01,160.695,165.82,160.695,165.55,136.85,46646
2020-09-02,166.335,167.88,165.125,166.33,137.5,34420
2020-09-03,166.6,166.615,159.17,160.58,132.74,31325
2020-09-04,162.74,162.89,158.1,160.12,132.36,19573
2020-09-08,157.89,158.88,155.04,155.635,128.66,29607
2020-09-09,157.67,159.62,157.24,157.61,130.29,22151
2020-09-10,159.02,160.68,156.94,157.27,130.01,35493
2020-09-11,157.38,160.43,157.38,159.05,131.48,12899
2020-09-14,161.39,163.63,161.24,162.46,134.3,29458
2020-09-15,163.89,164.485,162.2,162.93,134.69,18356
2020-09-16,163.84,167.275,162.92,165.61,136.9,42624
2020-09-17,162.77,167.035,162.24,164.305,135.82,69345
2020-09-18,164.28,164.58,159.85,160.42,132.61,30336
2020-09-21,156.86,156.86,152.225,154.465,127.69,59497
2020-09-22,154.565,157.55,154.325,157.34,130.07,31028
2020-09-23,158.595,160.04,156.45,156.64,129.49,56709
2020-09-24,156.265,159.72,155.395,157.25,129.99,39548
2020-09-25,156.29,161.05,156.29,159.97,132.24,32745
2020-09-28,162.52,165.32,162.005,163.895,135.49,52024
2020-09-29,163.82,164.42,161.05,161.49,133.5,45346
2020-09-30,162.44,164.875,161.03,162.255,134.13,24275
2020-10-01,164.0,165.33,161.2,162.705,134.5,47814
2020-10-02,159.28,167.42,159.28,164.735,136.18,42115
2020-10-05,167.535,169.74,167.48,169.21,139.88,45532
2020-10-06,169.42,170.675,166.81,166.85,137.93,65114
2020-10-07,170.15,172.24,169.215,172.09,142.26,60587
2020-10-08,173.0,174.51,171.94,173.44,143.38,40985
2020-10-09,174.69,179.39,174.54,176.69,146.06,147429
2020-10-12,177.11,179.48,177.01,178.005,147.15,67312
2020-10-13,177.45,179.1,174.725,177.94,147.1,103372
2020-10-14,178.82,180.21,177.09,177.43,146.67,36019
2020-10-15,175.025,177.05,173.95,176.58,145.97,65816
2020-10-16,178.035,178.74,176.275,176.49,145.9,60351
2020-10-19,176.67,176.67,172.64,173.55,143.47,55822
2020-10-20,175.4,178.02,174.01,175.8,145.33,62032
2020-10-21,175.305,177.63,174.34,174.34,144.12,49696
2020-10-22,177.16,178.27,175.72,178.01,147.15,108660
2020-10-23,179.385,180.7,176.19,177.97,147.12,58283
2020-10-26,175.355,175.355,171.49,173.025,143.03,86075
2020-10-27,166.92,170.82,164.07,166.39,137.55,308982
2020-10-28,163.71,166.97,162.465,162.6,134.41,137584
2020-10-29,162.475,166.455,161.99,165.33,136.67,80909
2020-10-30,164.6,166.6,162.55,166.26,137.44,86706
2020-11-02,169.92,171.3,166.88,168.53,139.32,47640
2020-11-03,172.135,174.81,171.525,173.705,143.59,36135
