date,open,high,low,close,adj_close,volume
2020-07-27,54.09,54.755,53.85,54.0,46.44,61263
2020-07-28,53.84,54.15,53.32,53.495,46.01,40366
2020-07-29,53.54,54.32,53.17,53.98,46.43,46647
2020-07-30,53.095,53.6,52.375,53.6,46.1,68785
2020-07-31,53.085,53.3,52.23,52.785,45.4,98132
2020-08-03,52.48,52.48,50.895,52.13,44.83,87840
2020-08-04,52.22,54.16,52.16,54.105,46.53,80475
2020-08-05,54.76,55.09,54.02,55.055,47.35,90990
2020-08-06,54.76,56.82,54.76,56.425,48.53,87750
2020-08-07,55.87,58.71,55.87,57.79,49.7,222373
2020-08-10,58.58,60.49,58.49,60.15,51.73,185046
2020-08-11,59.08,62.5,58.46,60.82,52.31,373926
2020-08-12,61.135,61.16,59.495,59.75,51.39,102125
2020-08-13,59.26,60.055,58.485,58.58,50.38,63966
2020-08-14,58.37,59.945,57.89,59.535,51.2,99413
2020-08-17,59.835,60.1,59.095,59.735,51.38,105112
2020-08-18,59.87,60.565,59.08,59.58,51.24,87801
2020-08-19,59.13,59.275,57.89,58.04,49.92,57169
2020-08-20,57.68,58.375,57.18,58.005,49.89,51191
2020-08-21,57.79,57.88,57.225,57.45,49.41,40820
2020-08-24,57.43,59.485,57.23,59.48,51.16,153575
2020-08-25,59.72,59.74,57.315,58.23,50.08,281685
2020-08-26,57.61,58.205,56.245,57.485,49.44,89561
2020-08-27,57.94,60.89,57.94,60.08,51.67,95149
2020-08-28,60.38,61.99,60.06,61.9,53.24,96158
2020-08-31,61.74,61.74,60.11,60.225,51.8,33043
2020-09-01,59.16,60.33,59.11,60.1,51.69,54601
2020-09-02,60.21,61.12,59.635,60.86,52.34,120098
2020-09-03,61.54,62.16,59.92,60.39,51.94,107629
2020-09-04,61.27,61.66,59.55,60.165,51.74,48955
2020-09-08,59.4,60.55,59.28,59.555,51.22,74684
2020-09-09,59.93,61.93,59.025,61.42,52.82,110988
2020-09-10,61.8,63.09,61.4,61.765,53.12,89218
2020-09-11,62.12,62.61,61.99,62.345,53.62,43106
2020-09-14,62.705,64.81,62.51,64.63,55.59,57626
2020-09-15,64.785,65.645,64.285,65.41,56.26,242950
2020-09-16,65.56,68.79,65.56,68.27,58.72,145519
2020-09-17,67.595,69.06,67.39,68.39,58.82,225803
2020-09-18,68.755,69.515,67.41,67.52,58.07,276086
2020-09-21,65.05,66.1,63.455,64.045,55.08,230981
2020-09-22,64.515,64.77,63.29,64.025,55.06,146057
2020-09-23,64.35,64.735,60.29,60.54,52.07,129279
2020-09-24,60.02,62.345,59.06,61.56,52.94,72148
2020-09-25,60.65,62.19,60.555,62.035,53.35,63378
2020-09-28,63.25,63.4,61.79,61.79,53.14,65621
2020-09-29,61.6,61.935,60.815,61.19,52.63,61229
2020-09-30,61.905,63.045,61.74,62.29,53.57,66641
2020-10-01,62.19,63.03,61.52,62.64,54.27,149775
2020-10-02,61.11,63.4,60.99,63.22,54.77,53360
2020-10-05,63.7,63.85,62.39,63.52,55.03,73971
2020-10-06,64.21,65.7,63.86,64.77,56.11,210024
2020-10-07,65.49,66.44,65.33,66.21,57.36,102645
2020-10-08,66.65,67.86,66.51,67.84,58.77,175506
2020-10-09,67.96,68.69,67.68,67.99,58.9,135112
2020-10-12,67.89,68.01,67.15,67.465,58.45,79275
2020-10-13,66.685,66.72,65.04,65.14,56.43,119255
2020-10-14,65.89,67.71,65.89,66.89,57.95,100785
2020-10-15,65.96,67.335,65.96,66.58,57.68,102703
2020-10-16,66.695,67.05,65.77,65.77,56.98,100029
2020-10-19,65.95,66.34,64.25,64.3,55.7,100930
2020-10-20,64.91,65.67,64.38,64.62,55.98,80915
2020-10-21,64.745,64.79,63.58,63.84,55.31,49905
2020-10-22,63.94,65.22,63.43,65.22,56.5,64638
2020-10-23,65.51,65.68,63.78,64.795,56.13,103698
2020-10-26,63.78,63.78,60.34,60.76,52.64,214479
2020-10-27,60.545,61.06,58.33,58.35,50.55,200581
2020-10-28,56.82,57.48,54.73,54.78,47.46,216102
2020-10-29,54.55,56.18,53.86,55.335,47.94,337257
2020-10-30,54.97,55.41,53.93,55.31,47.92,233956
2020-11-02,55.81,57.455,55.33,57.03,49.41,219025
2020-11-03,59.87,61.11,58.71,60.25,52.2,339328
2020-11-04,60.655,62.38,60.59,60.785,52.66,206231
2020-11-05,60.915,61.67,60.08,60.88,52.74,119807
2020-11-06,60.95,61.645,60.325,60.83,52.7,91336
2020-11-09,67.25,76.59,67.25,71.07,61.57,448440
2020-11-10,73.12,73.5,71.12,72.32,62.65,113541
2020-11-11,71.725,71.725,67.88,68.46,59.31,143315
2020-11-12,67.8,69.15,67.3,68.015,58.92,146669
