date,open,high,low,close,adj_close,volume
2020-07-27,18.35,18.54,18.05,18.145,16.07,90889
2020-07-28,18.11,18.34,17.895,17.895,15.85,48022
2020-07-29,18.105,19.21,18.08,19.13,16.95,45357
2020-07-30,18.47,18.75,18.22,18.665,16.62,51565
2020-07-31,18.48,18.69,17.725,18.3,16.3,99321
2020-08-03,18.14,18.915,17.99,18.8,16.74,65524
2020-08-04,18.765,19.855,18.765,19.715,17.56,46563
2020-08-05,20.43,20.69,19.92,20.125,17.92,181980
2020-08-06,19.515,20.49,19.175,19.365,17.24,125361
2020-08-07,19.26,20.03,19.22,19.595,17.45,98541
2020-08-10,20.1,20.49,19.82,20.425,18.19,65031
2020-08-11,21.005,21.01,19.545,19.63,17.48,141432
2020-08-12,19.98,20.35,19.625,20.03,17.84,58101
2020-08-13,19.675,19.91,18.98,19.245,17.14,69333
2020-08-14,19.2,19.965,19.2,19.965,17.78,76968
2020-08-17,20.02,20.185,19.29,19.585,17.44,93557
2020-08-18,19.275,19.375,18.32,18.47,16.45,71513
2020-08-19,18.49,19.11,18.355,18.36,16.35,58297
2020-08-20,18.19,18.785,18.12,18.595,16.56,56713
2020-08-21,18.51,18.54,17.99,18.41,16.39,34419
2020-08-24,18.51,18.795,18.255,18.305,16.3,50379
2020-08-25,18.4,18.54,17.57,17.905,15.94,76039
2020-08-26,17.79,17.91,17.095,17.1,15.23,59868
2020-08-27,17.375,17.485,17.02,17.47,15.56,56746
2020-08-28,17.515,17.87,17.295,17.77,15.82,33041
2020-08-31,17.49,17.53,16.975,17.055,15.19,36630
2020-09-01,16.93,17.27,16.78,16.965,15.11,31588
2020-09-02,16.93,17.21,16.75,16.985,15.12,34547
2020-09-03,16.73,17.05,16.31,16.475,14.67,47140
2020-09-04,16.57,16.675,15.525,16.34,14.55,57295
2020-09-08,15.98,16.0,15.295,15.48,13.78,66958
2020-09-09,15.52,15.675,15.145,15.435,13.74,67436
2020-09-10,15.36,15.72,14.915,14.95,13.31,81110
2020-09-11,14.71,15.045,14.65,14.71,13.1,49410
2020-09-14,14.825,15.395,14.305,15.235,13.57,69419
2020-09-15,15.345,15.41,14.895,15.075,13.42,85316
2020-09-16,15.23,16.49,15.195,16.14,14.37,64527
2020-09-17,15.615,16.18,15.45,16.005,14.25,88471
2020-09-18,15.715,15.855,15.125,15.355,13.67,93296
2020-09-21,14.695,14.78,14.195,14.7,13.09,59125
2020-09-22,14.79,15.13,14.335,14.585,12.99,76316
2020-09-23,14.63,14.935,14.01,14.015,12.48,48490
2020-09-24,13.96,14.115,13.105,13.975,12.44,78104
2020-09-25,14.08,14.585,13.785,14.17,12.62,210420
2020-09-28,14.53,14.81,14.265,14.63,13.03,80592
2020-09-29,14.62,14.78,14.3,14.63,13.03,75246
2020-09-30,14.715,14.86,13.995,14.02,12.48,82357
2020-10-01,13.81,14.04,13.345,13.59,12.1,200185
2020-10-02,13.35,14.52,13.23,14.32,12.75,170429
2020-10-05,15.245,15.875,15.19,15.85,14.11,173584
2020-10-06,16.33,16.43,15.335,15.57,13.86,209135
2020-10-07,15.705,16.36,15.68,16.165,14.39,196998
2020-10-08,16.36,17.16,16.06,17.085,15.21,147175
2020-10-09,17.26,17.54,16.72,16.76,14.92,168805
2020-10-12,16.715,16.96,16.535,16.775,14.94,179032
2020-10-13,16.61,17.17,16.58,16.905,15.05,238022
2020-10-14,17.05,18.15,17.05,17.33,15.43,217026
2020-10-15,16.78,17.34,16.53,17.265,15.37,204513
2020-10-16,17.265,17.32,16.545,16.545,14.73,89941
2020-10-19,16.61,16.765,15.99,16.025,14.27,145189
2020-10-20,16.315,17.055,16.225,16.78,14.94,99563
2020-10-21,16.66,16.75,16.31,16.485,14.68,87946
2020-10-22,16.52,17.62,16.51,17.18,15.3,151254
2020-10-23,17.315,17.34,16.815,17.1,15.23,108765
2020-10-26,16.65,16.675,15.93,16.095,14.33,109338
2020-10-27,16.12,16.435,15.875,16.375,14.58,195756
2020-10-28,15.92,16.07,15.55,15.77,14.04,184062
2020-10-29,15.57,16.085,15.21,16.0,14.34,271235
2020-10-30,16.045,16.205,15.745,16.045,14.38,176510
2020-11-02,16.28,16.37,15.99,16.06,14.39,134488
2020-11-03,16.495,16.95,16.24,16.59,14.87,123761
2020-11-04,16.6,17.21,15.98,16.73,14.99,184338
2020-11-05,17.005,17.96,17.005,17.7,15.86,321146
2020-11-06,18.09,18.36,16.895,16.97,15.21,163770
2020-11-09,19.03,20.24,18.865,19.57,17.54,259585
2020-11-10,19.9,20.265,19.21,20.235,18.13,459712
2020-11-11,20.4,20.86,19.99,20.23,18.13,172964
2020-11-12,19.91,20.78,19.79,19.995,17.92,267078
2020-11-13,20.235,20.73,20.07,20.54,18.41,106215
2020-11-16,21.77,22.095,21.25,21.525,19.29,144035
2020-11-17,21.29,22.695,21.04,22.665,20.31,229264
2020-11-18,22.78,23.75,22.7,22.73,20.37,206434
2020-11-19,22.33,23.315,21.96,23.245,20.83,128641
2020-11-20,23.29,23.64,22.82,23.075,20.68,113097
2020-11-23,23.52,24.77,23.52,24.755,22.18,130032
2020-11-24,25.66,26.285,24.98,25.23,22.61,198287
2020-11-25,24.875,25.54,24.56,24.975,22.38,109009
2020-11-27,24.73,25.17,24.45,24.52,21.97,63649
2020-11-30,24.64,24.695,23.385,23.49,21.05,200184
2020-12-01,24.32,24.57,23.34,23.61,21.16,96299
2020-12-02,23.545,24.67,23.545,24.185,21.67,162392
2020-12-03,24.785,25.345,24.41,24.9,22.31,213737
2020-12-04,25.515,26.74,25.47,26.5,23.75,245204
2020-12-07,26.405,26.405,25.385,25.715,23.04,155000
2020-12-08,25.455,26.77,25.455,26.27,23.54,184388
2020-12-09,26.665,27.04,25.58,25.975,23.28,135576
2020-12-10,25.965,28.06,25.965,28.055,25.14,144468
2020-12-11,27.57,28.24,27.19,28.24,25.31,199514
2020-12-14,28.655,28.655,27.455,27.47,24.62,175214
2020-12-15,27.86,28.18,27.1,28.17,25.24,134027
2020-12-16,28.13,28.46,27.62,28.275,25.34,111735
2020-12-17,28.5,28.505,27.335,27.765,24.88,203138
2020-12-18,27.59,27.81,26.68,26.92,24.12,72441
2020-12-21,26.3,27.285,26.07,27.07,24.26,144920
2020-12-22,26.99,27.395,26.65,26.675,23.91,47707
2020-12-23,27.0,27.36,26.745,26.88,24.09,46954
2020-12-24,26.885,26.885,26.15,26.58,23.82,29094
2020-12-28,26.665,26.69,25.51,25.78,23.1,67938
2020-12-29,26.01,26.2,25.51,26.095,23.39,102285
2020-12-30,26.07,26.69,25.94,26.155,23.44,101265
2020-12-31,26.125,26.465,25.82,26.37,23.63,84424
2021-01-04,26.78,27.11,25.86,26.145,23.43,52112
2021-01-05,26.31,28.28,26.31,27.79,24.9,115346
2021-01-06,28.26,28.76,27.57,28.56,25.59,149217
2021-01-07,28.89,30.59,28.8,30.525,27.36,181104
2021-01-08,30.735,30.8,28.87,29.195,26.16,105019
2021-01-11,28.605,29.425,28.24,29.21,26.18,81694
2021-01-12,29.47,31.05,29.47,30.995,27.78,77196
2021-01-13,31.33,31.33,30.49,30.69,27.5,70339
2021-01-14,30.92,31.43,30.7,31.08,27.85,117163
2021-01-15,30.695,30.695,29.805,30.04,26.92,124111
2021-01-19,30.04,30.3,29.945,30.1,26.97,60015
2021-01-20,30.61,30.61,29.4,29.73,26.64,101721
2021-01-21,29.73,29.99,28.04,28.77,25.78,107852
2021-01-22,28.19,28.805,28.065,28.77,25.78,92925
2021-01-25,28.29,28.29,27.14,27.98,25.07,111010
2021-01-26,28.29,28.81,27.5,27.58,24.72,150673
2021-01-27,26.99,27.7,26.675,27.0,24.2,145878
2021-01-28,27.575,28.34,27.14,28.05,25.14,102308
2021-01-29,27.625,28.71,27.16,27.395,24.64,71928
2021-02-01,27.635,28.17,26.995,28.01,25.19,124156
2021-02-02,28.73,29.61,28.56,29.22,26.28,128073
2021-02-03,29.745,30.37,29.66,30.035,27.01,120650
2021-02-04,29.92,30.3,29.57,29.83,26.83,67155
2021-02-05,30.49,30.61,30.075,30.25,27.21,73289
2021-02-08,31.0,31.325,30.59,31.26,28.11,95705
2021-02-09,31.035,31.035,30.13,30.3,27.25,95423
2021-02-10,30.44,31.08,29.88,31.08,27.95,50419
2021-02-11,31.08,31.115,29.81,30.4,27.34,60092
2021-02-12,30.275,30.93,30.17,30.7,27.61,76990
2021-02-16,31.72,31.79,30.84,31.04,27.92,90404
2021-02-17,30.97,31.39,30.31,30.99,27.87,109306
2021-02-18,30.5,31.05,29.465,29.53,26.56,138233
2021-02-19,29.69,29.99,29.225,29.96,26.95,75774
2021-02-22,29.9,31.37,29.9,30.41,27.35,105855
