date,open,high,low,close,adj_close,volume
2020-07-27,146.045,146.49,142.5,143.0,25.88,59193
2020-07-28,142.265,144.5,141.97,143.0,25.88,75930
2020-07-29,143.965,146.5,143.79,145.6,26.35,58560
2020-07-30,143.85,144.98,142.805,143.4,25.95,54759
2020-07-31,144.3,144.62,140.88,142.725,25.83,92553
2020-08-03,143.765,148.17,143.405,147.36,26.67,173438
2020-08-04,146.405,148.68,146.24,148.21,26.82,48248
2020-08-05,148.415,148.415,145.51,147.23,26.65,38631
2020-08-06,147.46,148.76,146.25,148.18,26.82,41512
2020-08-07,148.42,149.78,147.675,148.11,26.81,45541
2020-08-10,148.255,148.255,146.255,147.14,26.63,59824
2020-08-11,147.39,147.39,143.93,145.15,26.27,64044
2020-08-12,145.895,149.1,144.94,149.1,26.99,45905
2020-08-13,148.83,150.03,147.85,148.75,26.92,49183
2020-08-14,148.23,150.17,147.975,148.63,26.9,27441
2020-08-17,148.89,153.645,148.86,153.49,27.78,42336
2020-08-18,154.04,154.28,151.5,153.0,27.69,36495
2020-08-19,153.74,154.01,152.48,154.01,27.87,54753
2020-08-20,153.38,154.26,151.92,152.23,27.55,91379
2020-08-21,152.11,155.095,152.11,153.335,27.83,142324
2020-08-24,154.24,154.24,151.995,153.46,27.85,32310
2020-08-25,153.78,153.78,152.04,153.25,27.81,22033
2020-08-26,152.94,154.84,152.455,154.6,28.05,61217
2020-08-27,154.83,155.54,149.57,150.995,27.4,92992
2020-08-28,150.63,150.77,146.585,146.89,26.66,41504
2020-08-31,147.05,149.1,145.715,148.935,27.03,71487
2020-09-01,149.0,151.69,148.51,148.97,27.03,54068
2020-09-02,149.645,150.48,147.19,149.6,27.15,35399
2020-09-03,147.53,148.0,143.835,145.65,26.43,82043
2020-09-04,145.73,146.135,140.85,142.1,25.79,46345
2020-09-08,139.13,141.16,136.03,136.75,24.82,62510
2020-09-09,138.84,142.09,138.74,141.42,25.66,30136
2020-09-10,142.18,142.28,137.47,137.91,25.03,50541
2020-09-11,138.14,140.065,137.12,137.62,24.97,43050
2020-09-14,139.05,140.15,138.2,138.2,25.08,30920
2020-09-15,139.505,141.37,138.865,140.92,25.57,102510
2020-09-16,141.205,141.42,138.0,138.2,25.08,30129
2020-09-17,136.285,139.14,136.27,138.09,25.06,51100
2020-09-18,138.48,140.365,136.57,138.14,25.07,46731
2020-09-21,137.5,138.81,136.59,137.56,24.96,100593
2020-09-22,137.805,141.64,137.0,141.6,25.7,30891
2020-09-23,141.65,143.53,139.315,139.96,25.4,74862
2020-09-24,138.95,140.54,138.125,138.29,25.1,49847
2020-09-25,138.09,139.5,136.72,139.195,25.26,98992
2020-09-28,140.61,142.01,139.57,142.0,25.77,53729
2020-09-29,142.0,142.885,140.86,140.97,25.58,44123
2020-09-30,141.375,144.815,141.18,143.43,26.03,53005
2020-10-01,144.035,144.755,141.55,142.02,25.77,112036
2020-10-02,140.61,142.335,140.165,140.66,25.53,49892
2020-10-05,141.18,144.495,141.18,144.31,26.19,80460
2020-10-06,144.32,144.965,141.295,141.9,25.75,62582
2020-10-07,142.5,147.395,142.5,145.82,26.46,102877
2020-10-08,146.8,149.665,145.3,149.22,27.08,64669
2020-10-09,150.45,152.15,148.72,149.915,27.2,58796
2020-10-12,151.7,152.82,150.275,150.985,27.4,130576
2020-10-13,151.205,153.24,150.52,152.94,27.75,82430
2020-10-14,153.765,157.06,150.81,151.79,27.54,156992
2020-10-15,151.205,153.66,151.205,152.14,27.61,98644
2020-10-16,152.455,154.01,151.59,153.185,27.8,92377
2020-10-19,154.25,155.0,150.69,151.09,27.42,78283
2020-10-20,151.805,152.445,148.985,149.84,27.19,80594
2020-10-21,150.18,151.23,148.55,149.14,27.06,80817
2020-10-22,142.3,142.3,136.29,137.21,24.9,301591
2020-10-23,137.875,140.235,136.53,139.835,25.38,96905
2020-10-26,138.785,139.615,134.32,135.8,24.64,110118
2020-10-27,136.83,137.55,134.115,134.13,24.34,104683
2020-10-28,132.1,135.85,131.72,132.575,24.06,97561
2020-10-29,132.56,134.075,131.29,133.07,24.15,53324
2020-10-30,132.64,133.53,131.0,133.15,24.16,142044
2020-11-02,134.5,135.815,131.71,133.33,24.19,91528
2020-11-03,135.175,137.36,134.86,136.1,24.7,79131
2020-11-04,137.385,138.41,135.36,135.82,24.65,89955
2020-11-05,137.63,140.29,136.79,139.12,25.25,40994
2020-11-06,138.14,140.755,137.51,140.39,25.48,41903
2020-11-09,136.39,136.5,129.59,129.64,23.53,227295
2020-11-10,129.175,130.35,127.8,129.9,23.57,165127
2020-11-11,131.555,133.785,131.44,132.94,24.12,56796
2020-11-12,133.38,133.515,129.07,130.9,23.75,78482
2020-11-13,131.08,132.95,130.19,132.1,23.97,64089
2020-11-16,131.91,133.115,131.03,132.82,24.1,394003
2020-11-17,132.15,134.07,131.195,131.66,23.89,259176
2020-11-18,132.495,132.5,128.1,128.45,23.31,130994
2020-11-19,128.81,131.785,128.0,131.26,23.82,90863
2020-11-20,130.64,131.245,128.42,129.755,23.62,58872
2020-11-23,130.52,134.92,130.39,133.9,24.37,85431
2020-11-24,134.56,135.565,133.13,133.93,24.38,105588
2020-11-25,133.57,134.29,132.25,133.86,24.37,54091
2020-11-27,134.99,139.5,134.45,139.395,25.37,92167
2020-11-30,138.62,141.33,137.55,140.97,25.66,151787
2020-12-01,141.33,143.62,138.705,139.74,25.44,150373
2020-12-02,139.75,139.75,136.66,136.71,24.88,67618
2020-12-03,136.76,137.16,133.61,134.82,24.54,72109
2020-12-04,135.49,135.745,133.78,134.36,24.46,50949
2020-12-07,134.485,137.72,134.33,137.21,24.98,101315
2020-12-08,136.69,137.46,135.14,136.55,24.86,80289
2020-12-09,136.2,137.21,134.18,135.56,24.67,47889
2020-12-10,134.91,136.65,133.775,136.02,24.76,47792
2020-12-11,135.405,139.0,135.405,138.61,25.23,80313
2020-12-14,139.07,141.615,139.07,140.55,25.58,100989
2020-12-15,141.51,142.88,140.19,141.12,25.69,69702
2020-12-16,141.77,144.775,141.77,144.35,26.27,56205
2020-12-17,145.15,146.18,143.84,145.62,26.51,246192
2020-12-18,146.41,147.59,145.385,147.16,26.79,68718
2020-12-21,145.08,149.335,143.92,148.55,27.04,56711
2020-12-22,150.26,150.57,148.55,149.78,27.26,72490
2020-12-23,150.08,150.16,145.96,146.94,26.75,45513
2020-12-24,146.88,147.355,146.32,146.91,26.74,22381
2020-12-28,147.775,148.02,143.35,143.425,26.11,63269
2020-12-29,144.15,144.63,141.15,143.03,26.03,47158
2020-12-30,144.22,144.58,141.74,142.68,25.97,66204
2020-12-31,142.94,142.94,140.52,140.67,25.6,51862
2021-01-04,140.85,141.65,138.185,139.7,25.43,110116
2021-01-05,139.25,140.765,138.27,140.67,25.6,47775
2021-01-06,139.055,145.95,138.735,145.9,26.56,69567
2021-01-07,145.675,147.45,145.38,147.2,26.79,64855
2021-01-08,147.5,149.33,145.93,149.285,27.17,57637
2021-01-11,149.0,151.5,148.15,149.65,27.24,79533
2021-01-12,149.2,152.09,149.04,151.795,27.63,101983
2021-01-13,152.015,154.12,150.865,153.21,27.89,113533
2021-01-14,154.01,157.07,153.91,156.42,28.47,152791
2021-01-15,156.785,160.66,156.55,157.48,28.66,160921
2021-01-19,158.44,159.185,156.76,157.42,28.65,96634
2021-01-20,157.2,157.2,154.17,155.54,28.31,52274
2021-01-21,155.49,157.89,154.99,155.15,28.24,43222
2021-01-22,155.575,157.1,154.3,155.7,28.34,98442
2021-01-25,156.05,158.355,155.57,156.16,28.42,86493
2021-01-26,156.08,156.62,151.1,151.95,27.66,93730
2021-01-27,151.745,155.405,146.56,153.77,27.99,165826
2021-01-28,149.23,155.44,145.59,149.62,27.23,174873
2021-01-29,150.645,150.645,141.64,141.7,25.79,275300
2021-02-01,142.17,145.69,139.13,139.75,25.44,163973
2021-02-02,140.45,144.505,140.07,143.18,26.06,105962
2021-02-03,143.945,146.52,143.05,144.93,26.38,75234
2021-02-04,146.05,146.7,144.49,146.18,26.61,62807
2021-02-05,146.73,152.2,146.73,151.61,27.6,84654
2021-02-08,153.65,157.56,153.65,157.1,28.6,109333
2021-02-09,157.125,160.5,156.66,158.51,28.85,106153
2021-02-10,159.285,159.6,154.45,156.455,28.48,143257
2021-02-11,157.485,160.83,156.765,157.24,28.62,111475
2021-02-12,158.08,160.225,157.795,160.0,29.12,46870
2021-02-16,160.58,163.335,159.71,162.0,29.49,84168
2021-02-17,163.48,172.065,163.48,170.25,30.99,102564
2021-02-18,169.0,173.345,167.83,171.96,31.3,74092
2021-02-19,172.9,173.63,170.08,171.27,31.27,69713
2021-02-22,169.55,169.55,164.64,164.9,30.11,86289
2021-02-23,163.75,166.02,158.18,165.315,30.18,93603
2021-02-24,165.4,166.43,160.83,161.1,29.41,103799
2021-02-25,162.7,164.16,160.34,161.095,29.41,126305
2021-02-26,161.79,162.26,158.13,158.87,29.01,74238
2021-03-01,160.31,163.68,159.94,162.48,29.66,59118
2021-03-02,163.16,163.62,158.335,158.885,29.01,92526
2021-03-03,159.53,161.505,155.05,155.05,28.31,87170
2021-03-04,154.84,155.04,148.475,151.835,27.72,75109
2021-03-05,152.69,155.8,148.82,155.69,28.42,60847
2021-03-08,157.03,162.64,156.035,161.11,29.41,76237
2021-03-09,163.88,164.285,160.56,160.88,29.37,75830
2021-03-10,162.735,168.755,162.72,167.44,30.57,116908
2021-03-11,168.945,173.585,168.31,170.085,31.05,108932
2021-03-12,170.49,174.16,169.95,171.02,31.22,123741
2021-03-15,171.66,171.67,169.82,170.78,31.18,77534
2021-03-16,170.71,170.95,168.96,170.41,31.11,56343
2021-03-17,168.93,169.41,165.15,168.41,30.75,68838
2021-03-18,166.84,171.105,166.84,169.45,30.94,54018
2021-03-19,169.65,174.07,169.39,172.96,31.58,64113
2021-03-22,174.17,174.26,169.63,173.49,31.67,59480
2021-03-23,173.19,176.81,171.58,172.55,31.5,94535
2021-03-24,172.77,172.77,169.09,169.09,30.87,102918
2021-03-25,169.79,173.33,168.27,172.3,31.46,62273
2021-03-26,172.775,178.57,172.23,178.57,32.6,68387
2021-03-29,177.71,178.54,175.23,175.53,32.05,41498
2021-03-30,176.365,179.21,176.265,176.97,32.31,80750
2021-03-31,178.0,178.88,175.38,177.17,32.35,75472
2021-04-01,177.74,177.94,175.16,176.47,32.22,60535
2021-04-05,177.56,180.77,176.73,180.34,32.93,45053
2021-04-06,180.17,180.67,177.36,179.48,32.77,72305
2021-04-07,179.685,179.685,176.01,177.17,32.35,38568
2021-04-08,177.17,177.88,175.38,176.67,32.26,52882
2021-04-09,177.155,177.74,175.57,177.74,32.45,54664
2021-04-12,175.865,178.495,174.51,178.18,32.53,120166
2021-04-13,178.71,179.58,177.21,178.935,32.67,46888
2021-04-14,177.84,180.445,177.62,177.9,32.48,51349
2021-04-15,178.175,178.84,176.63,176.79,32.28,77204
2021-04-16,177.655,182.8,177.575,181.0,33.05,176186
2021-04-19,183.12,184.47,180.285,183.12,33.43,69228
2021-04-20,183.28,185.37,179.15,181.05,33.05,72321
2021-04-21,181.59,182.49,179.31,180.3,32.92,88088
2021-04-22,187.09,191.49,184.58,188.43,34.4,190458
2021-04-23,186.63,190.2,185.62,189.32,34.56,67228
2021-04-26,188.91,191.24,187.23,190.98,34.87,37460
2021-04-27,191.825,192.39,188.85,190.47,34.77,60284
2021-04-28,189.96,192.055,188.17,188.61,34.44,40464
2021-04-29,189.88,190.86,187.63,190.51,34.78,38542
2021-04-30,190.83,190.87,186.72,188.68,34.45,44394
2021-05-03,189.58,193.4,189.2,192.93,35.22,42180
2021-05-04,190.83,194.41,189.105,194.4,35.49,82236
2021-05-05,195.0,195.52,192.06,194.64,35.54,43017
2021-05-06,195.05,195.69,193.6,194.82,35.57,58088
2021-05-07,195.36,196.08,194.03,195.605,35.71,51307
2021-05-10,196.9,200.59,195.52,195.62,35.72,59409
2021-05-11,193.98,194.53,188.51,191.03,34.88,57346
2021-05-12,189.445,190.3,181.785,182.45,33.31,122648
2021-05-13,183.9,186.84,183.89,186.52,34.05,111763
2021-05-14,186.02,188.33,185.01,188.03,34.33,51859
2021-05-17,188.43,188.43,185.465,186.34,34.02,38103
2021-05-18,186.93,187.21,183.35,185.105,33.8,69118
2021-05-19,182.47,182.57,176.61,180.61,32.97,87424
2021-05-20,180.385,184.36,180.215,183.89,33.57,47103
2021-05-21,183.27,185.14,182.88,183.35,33.57,64013
2021-05-24,184.275,184.275,181.67,181.67,33.26,35681
2021-05-25,181.76,183.2,180.09,180.5,33.05,82885
2021-05-26,180.78,183.185,179.8,182.98,33.5,61643
2021-05-27,183.6,185.13,182.33,182.79,33.47,36777
2021-05-28,183.61,184.99,181.08,181.81,33.29,56358
2021-06-01,181.44,182.88,179.685,181.73,33.27,59409
2021-06-02,181.55,181.69,178.41,181.01,33.14,39863
2021-06-03,180.19,180.26,175.73,177.96,32.58,140896
2021-06-04,178.75,181.26,177.46,181.1,33.16,40278
2021-06-07,182.07,182.07,179.63,181.095,33.16,33630
2021-06-08,181.74,181.77,180.585,181.39,33.21,42850
2021-06-09,182.29,182.92,180.445,181.05,33.15,44183
2021-06-10,181.53,182.47,179.78,179.87,32.93,35958
2021-06-11,180.11,184.31,180.11,184.31,33.75,48206
2021-06-14,183.91,184.22,181.48,183.185,33.54,54398
2021-06-15,182.03,182.03,178.39,179.74,32.91,28640
2021-06-16,178.89,179.72,177.17,178.175,32.62,55510
2021-06-17,178.54,178.625,172.555,174.8,32.0,207355
2021-06-18,174.28,174.455,170.85,171.24,31.35,190933
2021-06-21,172.76,176.48,172.76,175.26,32.09,76085
2021-06-22,176.21,180.845,176.19,180.54,33.06,121880
2021-06-23,179.98,180.36,178.52,179.47,32.86,45455
2021-06-24,181.085,181.48,180.06,180.88,33.12,27829
2021-06-25,181.39,181.8,179.96,180.12,32.98,28577
2021-06-28,180.46,183.57,179.75,183.515,33.6,50259
