date,open,high,low,close,adj_close,volume
2020-07-27,33.73,34.45,33.73,34.195,33.97,14122
2020-07-28,34.17,34.51,34.12,34.23,34.01,19400
2020-07-29,34.265,34.445,34.1,34.235,34.01,23348
2020-07-30,34.345,37.045,34.345,35.12,34.89,70372
2020-07-31,35.545,35.61,34.19,34.975,34.75,53165
2020-08-03,34.75,35.995,34.08,35.975,35.74,40679
2020-08-04,35.965,36.29,35.71,35.895,35.66,48216
2020-08-05,36.475,36.86,36.02,36.565,36.33,29940
2020-08-06,36.32,37.315,36.32,36.975,36.73,65015
2020-08-07,36.965,37.605,36.85,37.565,37.32,27407
2020-08-10,38.06,38.92,37.77,38.91,38.66,12727
2020-08-11,39.77,40.06,38.55,38.7,38.45,44626
2020-08-12,39.165,39.165,37.64,38.2,37.95,51569
2020-08-13,37.57,38.15,37.3,37.445,37.2,11794
2020-08-14,37.6,38.79,37.49,38.47,38.22,77923
2020-08-17,38.565,38.83,37.725,37.85,37.6,160561
2020-08-18,37.7,37.805,37.185,37.23,36.99,86258
2020-08-19,37.16,38.155,37.16,37.73,37.48,50264
2020-08-20,37.43,37.53,37.17,37.43,37.18,22331
2020-08-21,37.515,37.695,37.43,37.6,37.35,51458
2020-08-24,37.915,39.27,37.915,39.27,39.01,27524
2020-08-25,39.585,39.585,38.465,38.67,38.42,24191
2020-08-26,38.34,38.915,38.255,38.855,38.6,22698
2020-08-27,39.23,39.86,39.195,39.39,39.13,29042
2020-08-28,39.485,39.985,39.38,39.98,39.72,25990
2020-08-31,39.825,39.875,39.25,39.505,39.25,29216
2020-09-01,39.04,39.525,38.795,39.4,39.14,153557
2020-09-02,39.42,40.665,39.42,40.6,40.33,89110
2020-09-03,40.84,40.84,38.735,39.0,38.74,38484
2020-09-04,39.635,39.995,38.73,38.93,38.68,30613
2020-09-08,38.595,38.595,37.64,38.25,38.0,56708
2020-09-09,38.53,38.935,38.205,38.54,38.29,50316
2020-09-10,38.63,39.135,38.52,38.52,38.29,58443
2020-09-11,38.74,39.16,38.41,38.76,38.53,57464
2020-09-14,38.98,39.475,38.655,39.33,39.09,28994
2020-09-15,39.38,39.41,38.79,39.065,38.83,62640
2020-09-16,38.885,39.955,38.885,39.62,39.38,91584
2020-09-17,38.86,39.49,38.675,39.045,38.81,26829
2020-09-18,39.12,39.16,37.54,37.685,37.46,45818
2020-09-21,36.61,36.7,35.245,35.68,35.46,69381
2020-09-22,35.665,36.315,35.29,35.61,35.4,40881
2020-09-23,36.06,36.31,34.775,34.805,34.6,68622
2020-09-24,34.305,35.41,33.92,34.675,34.47,106850
2020-09-25,34.36,35.495,34.325,35.29,35.08,39855
2020-09-28,36.58,37.165,36.15,36.755,36.53,47553
2020-09-29,36.465,37.08,36.465,36.825,36.6,29269
2020-09-30,36.945,37.335,35.925,36.13,35.91,37984
2020-10-01,35.76,36.47,34.78,35.1,34.89,148586
2020-10-02,34.385,36.44,34.205,35.74,35.52,111588
2020-10-05,36.33,36.59,36.065,36.39,36.17,38526
