date,open,high,low,close,adj_close,volume
2020-07-27,209.35,210.845,207.22,209.85,206.71,28509
2020-07-28,208.47,210.3,206.29,206.535,203.45,26764
2020-07-29,207.49,211.15,207.49,208.82,205.7,53467
2020-07-30,205.64,208.82,204.45,208.39,205.28,29207
2020-07-31,208.81,211.63,208.505,211.63,208.47,30663
2020-08-03,212.315,213.17,211.15,212.14,208.97,15797
2020-08-04,211.905,214.5,211.87,214.175,210.97,60497
2020-08-05,215.1,215.165,211.18,212.165,208.99,10259
2020-08-06,213.095,213.58,208.87,211.66,208.5,23036
2020-08-07,211.175,211.94,208.87,210.42,207.28,17635
2020-08-10,209.24,209.24,205.28,206.34,203.26,19096
2020-08-11,205.15,206.55,201.61,201.85,198.83,21220
2020-08-12,202.525,205.3,202.2,205.12,202.05,17685
2020-08-13,206.22,211.585,205.89,210.25,207.11,28303
2020-08-14,211.0,211.0,206.87,207.26,204.16,27368
2020-08-17,208.65,208.7,206.425,206.74,203.65,20591
2020-08-18,208.37,208.95,206.69,207.015,203.92,29987
2020-08-19,206.81,207.52,205.87,206.165,203.08,20750
2020-08-20,205.41,208.72,205.41,208.23,205.12,11022
2020-08-21,207.55,207.55,205.44,206.8,203.71,33135
2020-08-24,207.56,207.58,206.13,206.96,203.87,13469
2020-08-25,206.575,207.355,205.45,205.74,202.67,24797
2020-08-26,206.69,209.275,206.16,208.62,205.5,26891
2020-08-27,208.65,209.79,207.26,207.83,204.72,15591
2020-08-28,207.75,208.555,206.205,208.2,205.09,14275
2020-08-31,209.87,215.675,209.87,214.96,211.75,48073
2020-09-01,215.08,215.77,213.41,215.77,212.55,30062
2020-09-02,217.23,220.5,217.23,219.92,216.63,19734
2020-09-03,220.12,220.12,206.04,207.8,204.69,202311
2020-09-04,207.48,207.72,201.07,203.62,200.58,44727
2020-09-08,199.205,199.23,195.175,196.64,193.7,23197
2020-09-09,199.495,201.625,195.765,200.23,197.24,20459
2020-09-10,199.805,200.86,195.44,197.99,195.03,44495
2020-09-11,198.46,200.74,195.19,198.21,195.25,38420
2020-09-14,202.26,203.055,201.21,202.115,199.09,30462
2020-09-15,202.35,204.99,202.28,204.27,201.22,58024
2020-09-16,205.14,206.96,202.99,203.095,200.06,15004
2020-09-17,199.21,203.47,199.21,203.46,200.42,24758
2020-09-18,205.59,206.44,203.8,204.74,201.68,59494
2020-09-21,202.12,203.705,200.26,202.91,199.88,55670
2020-09-22,202.92,205.75,201.47,205.33,202.26,25656
2020-09-23,205.52,205.6,199.69,200.11,197.12,27927
2020-09-24,200.32,204.32,198.97,202.0,198.98,32795
2020-09-25,202.44,206.3,200.72,205.9,202.82,12062
2020-09-28,207.685,207.685,202.82,204.42,201.37,23988
2020-09-29,200.63,206.09,200.63,205.11,202.04,29717
2020-09-30,204.495,207.13,203.815,205.19,202.12,28587
2020-10-01,206.78,208.19,206.07,207.03,203.94,33350
2020-10-02,202.775,205.03,200.9,202.42,199.4,22156
2020-10-05,202.36,203.96,201.07,203.44,200.4,40298
2020-10-06,202.87,206.325,201.355,202.15,199.13,22048
2020-10-07,202.4,204.625,201.23,203.84,200.79,36186
2020-10-08,204.39,206.43,204.18,205.54,202.47,21595
2020-10-09,206.975,210.07,206.83,209.57,206.44,34239
2020-10-12,212.27,216.24,210.8,213.94,210.74,47663
2020-10-13,215.0,217.95,214.63,216.05,212.82,45679
2020-10-14,215.75,217.26,211.51,212.15,208.98,31011
2020-10-15,210.3,210.685,206.365,208.66,205.54,32328
2020-10-16,208.96,210.72,207.23,207.33,204.23,24876
2020-10-19,208.05,208.6,202.72,203.18,200.14,28265
2020-10-20,205.82,206.25,203.06,204.03,200.98,32898
2020-10-21,205.14,206.71,203.98,205.65,202.58,38549
2020-10-22,206.52,208.71,203.81,208.285,205.17,43083
2020-10-23,203.77,203.77,197.12,200.6,197.6,117061
2020-10-26,198.73,199.73,197.15,198.435,195.47,94069
2020-10-27,200.01,201.305,198.19,198.735,195.77,67047
2020-10-28,196.865,196.865,188.74,189.84,187.0,87461
2020-10-29,189.6,193.82,188.68,191.69,188.83,36649
2020-10-30,190.09,192.135,189.37,190.43,187.58,31040
