date,open,high,low,close,adj_close,volume
2020-07-27,18.88,18.88,18.01,18.235,16.14,142840
2020-07-28,18.38,18.75,18.205,18.475,16.35,68731
2020-07-29,18.585,18.905,18.46,18.875,16.71,56123
2020-07-30,18.63,18.855,18.245,18.795,16.63,117104
2020-07-31,18.645,18.825,18.435,18.665,16.52,84333
2020-08-03,18.7,18.795,18.31,18.755,16.6,119651
2020-08-04,18.765,19.22,18.69,18.7,16.55,220109
2020-08-05,19.025,19.385,18.095,18.275,16.17,312161
2020-08-06,18.205,18.96,18.205,18.845,16.68,242414
2020-08-07,18.715,19.145,18.5,18.875,16.71,287160
2020-08-10,18.885,19.265,18.82,19.195,16.99,99903
2020-08-11,19.56,19.56,18.86,18.88,16.71,89281
2020-08-12,19.135,19.415,19.125,19.32,17.1,120972
2020-08-13,19.23,19.32,18.995,19.125,16.93,30789
2020-08-14,18.945,19.19,18.825,19.055,16.86,39203
2020-08-17,19.135,19.395,19.0,19.37,17.14,80528
2020-08-18,19.39,20.4,19.38,20.14,17.83,180400
2020-08-19,20.16,20.16,19.7,19.715,17.45,80387
2020-08-20,19.44,19.745,19.35,19.415,17.18,73044
2020-08-21,19.375,19.52,19.075,19.085,16.89,55670
2020-08-24,19.185,19.405,18.91,19.295,17.08,65885
2020-08-25,19.42,19.47,19.0,19.145,16.94,57055
2020-08-26,18.99,19.0,18.49,18.73,16.58,63022
2020-08-27,18.77,19.14,18.76,19.11,16.91,112273
2020-08-28,19.16,19.32,18.975,19.295,17.08,31979
2020-08-31,19.34,19.475,19.2,19.235,17.02,78224
2020-09-01,19.03,19.035,18.685,18.765,16.61,139415
2020-09-02,18.66,19.43,18.53,19.31,17.09,48046
2020-09-03,19.47,19.51,18.67,18.775,16.62,50167
2020-09-04,18.835,18.835,18.035,18.235,16.14,61976
2020-09-08,18.21,18.35,17.755,17.85,15.8,80774
2020-09-09,18.06,18.595,18.06,18.405,16.29,65478
2020-09-10,18.415,18.415,18.085,18.09,16.01,57586
2020-09-11,18.25,18.5,17.93,18.495,16.37,70425
2020-09-14,18.58,18.88,18.25,18.86,16.69,138422
2020-09-15,18.705,18.745,18.375,18.395,16.4,88190
2020-09-16,18.36,18.83,18.315,18.605,16.59,165620
2020-09-17,18.385,18.44,18.12,18.285,16.3,107625
2020-09-18,18.245,18.455,18.015,18.11,16.14,76952
2020-09-21,17.815,18.095,17.685,17.885,15.94,111538
2020-09-22,17.92,18.19,17.685,17.825,15.89,166307
2020-09-23,17.86,18.135,17.82,17.965,16.01,94299
2020-09-24,17.845,18.105,17.655,17.975,16.02,84079
2020-09-25,17.85,18.105,17.805,18.045,16.09,93039
2020-09-28,18.17,18.195,17.935,17.975,16.02,90867
2020-09-29,18.21,18.855,18.21,18.535,16.52,574536
2020-09-30,18.655,18.98,18.34,18.87,16.82,422605
2020-10-01,18.935,18.95,17.855,17.885,15.94,201883
2020-10-02,17.505,18.035,17.215,18.005,16.05,177950
2020-10-05,18.06,18.22,17.795,17.8,15.87,177328
2020-10-06,17.785,18.22,17.75,17.93,15.98,174457
2020-10-07,18.0,18.04,17.765,17.84,15.9,181461
2020-10-08,17.94,18.305,17.94,18.26,16.28,102834
2020-10-09,18.345,18.345,18.005,18.025,16.07,90946
2020-10-12,17.9,18.175,17.78,18.0,16.05,165959
2020-10-13,17.925,18.145,17.695,18.06,16.1,206881
2020-10-14,18.13,19.015,18.13,18.795,16.75,136474
2020-10-15,18.53,19.06,18.445,18.755,16.72,120036
2020-10-16,18.77,19.265,18.655,19.025,16.96,95091
2020-10-19,19.06,19.1,18.82,18.835,16.79,124969
2020-10-20,18.895,19.195,18.8,18.955,16.9,92326
2020-10-21,18.735,19.145,18.73,18.945,16.89,91746
2020-10-22,18.93,19.195,18.67,19.07,17.0,91227
2020-10-23,19.205,19.355,19.025,19.3,17.2,58520
2020-10-26,19.155,19.175,18.755,19.115,17.04,73725
2020-10-27,19.025,19.25,18.37,18.465,16.46,121232
2020-10-28,18.145,18.205,17.305,17.355,15.47,209133
2020-10-29,17.26,17.53,16.93,17.34,15.46,111045
2020-10-30,17.33,17.65,17.23,17.38,15.49,143876
2020-11-02,17.53,17.91,17.425,17.73,15.81,143583
2020-11-03,18.045,18.67,18.045,18.39,16.39,184455
2020-11-04,18.51,18.88,18.09,18.335,16.34,142723
2020-11-05,18.56,18.97,18.365,18.475,16.47,91024
2020-11-06,18.535,18.725,18.25,18.255,16.27,68195
2020-11-09,19.27,19.56,18.645,18.91,16.86,171754
2020-11-10,18.99,20.195,18.87,20.15,17.96,262625
2020-11-11,20.19,20.32,19.42,19.635,17.5,138349
2020-11-12,19.62,19.85,18.835,19.02,16.96,124649
2020-11-13,19.18,19.84,19.18,19.75,17.61,122478
2020-11-16,20.09,20.155,19.57,19.795,17.65,142997
2020-11-17,19.74,19.75,19.115,19.33,17.23,127704
2020-11-18,19.26,19.45,18.61,18.625,16.6,239023
2020-11-19,18.615,18.64,18.19,18.53,16.52,176029
2020-11-20,18.47,18.675,18.18,18.2,16.22,85328
2020-11-23,18.4,18.66,18.37,18.58,16.56,70554
2020-11-24,18.795,19.375,18.62,19.32,17.22,90829
2020-11-25,19.39,19.575,19.245,19.465,17.35,92943
