date,open,high,low,close,adj_close,volume
2020-07-27,107.33,107.33,106.66,107.07,97.23,31296
2020-07-28,106.89,108.01,106.89,107.535,97.65,62028
2020-07-29,108.13,110.105,107.91,109.68,99.6,99008
2020-07-30,108.36,109.52,107.35,109.4,99.34,75683
2020-07-31,109.075,109.455,108.35,109.455,99.39,45904
2020-08-03,109.45,109.51,108.765,108.95,98.93,54079
2020-08-04,108.52,108.935,108.02,108.8,98.8,33872
2020-08-05,109.035,109.71,108.715,109.24,99.2,30328
2020-08-06,109.52,110.37,109.445,110.37,100.22,59196
2020-08-07,110.945,113.23,110.945,112.645,102.29,48925
2020-08-10,111.62,111.94,110.98,111.59,101.33,33629
2020-08-11,112.24,112.34,110.91,111.56,101.3,61030
2020-08-12,111.925,112.73,111.76,112.285,101.96,27215
2020-08-13,111.53,111.72,110.91,111.31,101.08,11122
2020-08-14,110.865,111.99,110.865,111.475,101.23,34149
2020-08-17,111.285,112.09,110.59,110.87,100.68,37126
2020-08-18,110.735,111.52,110.735,111.1,100.89,33124
2020-08-19,111.465,111.8,110.285,110.48,100.32,39973
2020-08-20,110.355,110.625,109.805,110.16,100.03,39422
2020-08-21,110.305,111.42,109.93,111.17,100.95,45109
2020-08-24,111.445,112.505,111.18,112.505,102.16,35322
2020-08-25,112.87,113.37,112.77,113.23,102.82,135005
2020-08-26,113.23,114.68,112.745,113.85,103.38,309078
2020-08-27,114.43,114.96,113.84,114.29,103.78,25935
2020-08-28,114.1,114.1,113.285,113.99,103.51,18160
2020-08-31,114.11,114.375,113.605,114.02,103.54,25024
2020-09-01,113.62,113.77,112.94,113.67,103.22,22404
2020-09-02,113.61,114.995,113.42,114.1,103.61,93329
2020-09-03,113.94,114.12,110.57,111.2,101.46,101601
2020-09-04,111.78,112.205,109.08,111.295,101.55,64767
2020-09-08,110.655,111.59,110.14,110.47,100.79,39096
2020-09-09,110.725,113.375,110.725,112.56,102.7,31870
2020-09-10,112.36,112.9,111.37,111.79,102.0,48409
2020-09-11,111.82,113.61,111.64,113.17,103.26,43086
2020-09-14,113.81,116.53,113.795,116.44,106.24,31015
2020-09-15,116.225,117.74,116.22,117.1,106.84,38486
2020-09-16,117.23,118.82,116.7,116.89,106.65,39926
2020-09-17,116.015,117.43,115.33,115.53,105.41,53589
2020-09-18,115.46,116.52,114.9,115.28,105.18,64646
2020-09-21,114.21,114.395,113.265,114.25,104.24,66489
2020-09-22,114.08,115.42,114.08,114.965,104.9,23330
2020-09-23,113.56,113.87,111.75,111.78,101.99,63807
2020-09-24,111.77,112.45,110.265,111.28,101.53,32241
2020-09-25,110.97,113.82,110.97,113.68,103.72,59699
2020-09-28,114.44,115.18,113.89,113.9,103.92,50932
2020-09-29,114.24,114.62,113.35,113.42,103.49,39056
2020-09-30,113.76,114.31,112.635,113.16,103.25,130018
2020-10-01,113.78,113.79,112.06,112.845,102.96,85400
2020-10-02,111.75,114.49,111.75,113.97,103.99,76386
2020-10-05,114.55,115.06,113.87,114.17,104.17,47202
2020-10-06,114.71,115.0,113.02,113.365,103.44,89865
2020-10-07,113.795,114.34,113.41,113.98,104.0,79956
2020-10-08,114.25,114.845,114.01,114.68,104.64,48337
2020-10-09,114.76,115.685,114.72,115.34,105.24,43318
2020-10-12,115.74,117.16,115.74,116.78,106.55,74836
2020-10-13,116.83,117.5,115.09,115.49,105.38,92868
2020-10-14,115.35,115.77,114.28,114.53,104.5,46107
2020-10-15,114.26,115.48,114.165,115.3,105.2,60674
2020-10-16,115.51,116.41,115.5,115.85,105.7,96479
2020-10-19,115.665,115.97,113.625,113.74,103.78,49454
2020-10-20,114.63,115.59,114.16,114.32,104.31,46657
2020-10-21,113.98,115.08,113.64,114.21,104.21,32778
2020-10-22,114.11,116.015,114.07,115.74,105.6,67407
2020-10-23,116.17,116.825,115.53,116.705,106.48,88016
2020-10-26,115.69,115.97,112.82,113.4,103.47,120625
2020-10-27,112.32,112.405,110.35,110.61,100.92,145872
2020-10-28,109.22,109.81,106.78,106.86,97.5,104931
