date,open,high,low,close,adj_close,volume
2020-07-27,92.995,94.16,92.625,93.29,83.4,75081
2020-07-28,93.59,93.68,92.385,92.75,82.92,74351
2020-07-29,92.68,95.39,92.68,94.82,84.77,55183
2020-07-30,94.2,94.2,90.575,91.61,81.9,174857
2020-07-31,91.45,91.805,90.165,91.11,81.45,108687
2020-08-03,91.265,92.385,90.815,90.95,81.31,56700
2020-08-04,90.72,92.375,90.525,91.8,82.07,57604
2020-08-05,92.46,92.46,90.84,90.97,81.33,42299
2020-08-06,90.485,91.455,90.24,91.03,81.38,34189
2020-08-07,90.85,91.185,90.04,90.785,81.16,78785
2020-08-10,90.97,91.69,90.915,91.31,81.63,20219
2020-08-11,92.15,93.9,92.15,92.67,82.85,34147
2020-08-12,93.2,93.77,92.6,93.19,83.31,59666
2020-08-13,92.72,93.715,92.56,92.79,82.96,40423
2020-08-14,92.43,93.13,92.24,92.6,82.79,17955
2020-08-17,93.07,94.03,92.92,93.64,83.72,30624
2020-08-18,93.885,94.87,93.6,94.87,84.82,38144
2020-08-19,94.59,94.75,93.57,93.915,83.96,75097
2020-08-20,93.21,95.51,93.21,95.38,85.27,59655
2020-08-21,95.51,96.315,95.32,96.04,85.86,43928
2020-08-24,96.35,96.925,95.36,96.49,86.26,27595
2020-08-25,96.555,96.82,95.93,96.48,86.68,28807
2020-08-26,95.71,95.71,94.83,95.305,85.62,34036
2020-08-27,96.315,96.6,95.485,95.495,85.79,44476
2020-08-28,95.655,97.545,95.655,97.47,87.57,57445
2020-08-31,97.15,97.15,95.725,95.95,86.2,66585
2020-09-01,95.605,96.17,94.96,96.17,86.4,32393
2020-09-02,96.35,98.65,95.94,97.94,87.99,127289
2020-09-03,98.37,98.37,95.455,96.39,86.6,74316
2020-09-04,96.88,96.95,94.365,95.21,85.54,56047
2020-09-08,94.64,96.01,93.49,93.49,83.99,49710
2020-09-09,94.19,94.835,93.35,93.35,83.86,34660
2020-09-10,93.35,94.44,92.2,92.445,83.05,47509
2020-09-11,92.66,93.1,91.55,92.37,82.98,50631
2020-09-14,92.72,94.16,92.57,92.94,83.5,64340
2020-09-15,93.415,94.295,93.16,93.53,84.03,71538
2020-09-16,93.74,95.42,93.74,94.81,85.18,38474
2020-09-17,93.77,94.56,93.01,93.705,84.18,23801
2020-09-18,93.24,94.285,92.08,92.185,82.82,64001
2020-09-21,90.22,90.22,88.16,89.29,80.22,81088
2020-09-22,89.43,90.815,88.86,90.58,81.38,71922
2020-09-23,90.955,91.4,89.635,89.73,80.61,129451
2020-09-24,89.965,91.465,89.25,91.33,82.05,82135
2020-09-25,91.17,91.69,89.76,91.485,82.19,40318
2020-09-28,92.09,92.4,91.48,91.745,82.42,42338
2020-09-29,91.555,91.665,90.275,90.675,81.46,117482
2020-09-30,90.89,92.51,90.775,91.27,82.0,118867
2020-10-01,92.0,92.49,91.21,91.84,82.51,123746
2020-10-02,90.415,95.29,90.415,95.13,85.46,136149
2020-10-05,95.655,95.655,93.52,94.04,84.48,67067
2020-10-06,94.365,94.83,91.85,92.01,82.66,68736
2020-10-07,92.885,94.385,92.805,93.89,84.35,75249
2020-10-08,94.2,95.39,93.91,95.36,85.67,73954
2020-10-09,95.655,95.97,94.875,95.48,85.78,73236
2020-10-12,95.52,96.22,94.91,95.97,86.22,57484
2020-10-13,95.395,96.39,95.395,96.06,86.3,72730
2020-10-14,96.21,97.34,95.93,96.53,86.72,75433
2020-10-15,96.005,99.73,95.875,99.51,89.4,171308
2020-10-16,99.79,100.73,98.44,98.53,88.52,163824
2020-10-19,98.61,99.72,97.03,97.22,87.34,52019
2020-10-20,97.875,98.45,97.06,97.38,87.49,67909
2020-10-21,97.505,99.35,97.27,99.04,88.98,55191
2020-10-22,99.48,99.94,98.2,99.83,89.69,82961
2020-10-23,100.275,101.49,99.13,101.28,90.99,77774
2020-10-26,100.08,100.17,97.53,99.17,89.09,100528
2020-10-27,98.81,99.11,97.83,98.01,88.05,89547
2020-10-28,96.15,97.06,94.89,94.89,85.25,108725
2020-10-29,97.465,97.465,92.29,95.015,85.36,155760
2020-10-30,94.615,95.08,92.375,93.23,83.76,141117
2020-11-02,94.51,95.84,93.745,95.19,85.52,99237
2020-11-03,96.01,97.66,95.855,96.705,86.88,86905
2020-11-04,97.53,99.97,96.77,98.675,88.65,141661
2020-11-05,99.16,101.205,99.12,100.77,90.53,200926
2020-11-06,100.61,101.26,99.175,99.33,89.24,131534
2020-11-09,104.1,106.33,101.95,101.95,91.59,171938
2020-11-10,102.595,104.015,102.02,102.99,92.53,84063
2020-11-11,103.15,103.36,101.56,101.8,91.46,68185
