date,ticker,sector,industry,predicted_63d_return,volatility_60d,ret_60d
2026-06-08,TPL,Energy,Oil & Gas Exploration & Production,0.2922028,0.5486812304050555,-0.2494328064735687
2026-06-08,TTD,Communication Services,Advertising,0.2762805,0.6119730988337893,-0.2677224736048265
2026-06-08,STX,Information Technology,"Technology Hardware, Storage & Peripherals",0.23970991,0.6470408600141768,1.348778658667238
2026-06-08,NTAP,Information Technology,"Technology Hardware, Storage & Peripherals",0.20561928,0.6095850665877685,0.7659618573797677
2026-06-08,APP,Information Technology,Application Software,0.19467796,0.648659089921107,0.2556725823331627
2026-06-08,CMG,Consumer Discretionary,Restaurants,0.18779784,0.33822073428883587,-0.10073710073710074
2026-06-08,TSCO,Consumer Discretionary,Other Specialty Retail,0.18507043,0.42200209059621613,-0.36874083385711287
2026-06-08,CEG,Utilities,Electric Utilities,0.16557471,0.5308896630229052,-0.16776807358947954
2026-06-08,URI,Industrials,Trading Companies & Distributors,0.15241557,0.5445305349350206,0.48008683423671883
2026-06-08,FIX,Industrials,Construction & Engineering,0.1523437,0.5247336033100398,0.34835543322338003
2026-06-08,FTNT,Information Technology,Systems Software,0.1492596,0.5690957590822201,0.6936878256750354
2026-06-08,GNRC,Industrials,Electrical Components & Equipment,0.14776197,0.5486795865674866,0.3015417800328455
2026-06-08,LULU,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.14771974,0.4840018363162271,-0.2574579699153078
2026-06-08,ANET,Information Technology,Communications Equipment,0.14539643,0.6148901616438667,0.16564783062472066
2026-06-08,CHTR,Communication Services,Cable & Satellite,0.13906562,0.694928800364381,-0.3852055049283988
2026-06-08,GDDY,Information Technology,Internet Services & Infrastructure,0.13675858,0.40835603879651555,-0.00012385434728745537
2026-06-08,CDW,Information Technology,Technology Distributors,0.1309806,0.6103355599129117,0.19554806669031577
2026-06-08,Q,Information Technology,Semiconductor Materials & Equipment,0.13094427,0.5657551645339529,0.35031787584143625
2026-06-08,NRG,Utilities,Independent Power Producers & Energy Traders,0.12901382,0.5055502813168273,-0.15702697355404605
2026-06-08,WDC,Information Technology,"Technology Hardware, Storage & Peripherals",0.12560304,0.6903754633170043,1.0168836140888207
2026-06-08,LRCX,Information Technology,Semiconductor Materials & Equipment,0.12396061,0.6089853278904467,0.5472940727307438
2026-06-08,CRWD,Information Technology,Systems Software,0.12380279,0.5632056469925731,0.4913964861438145
2026-06-08,NXPI,Information Technology,Semiconductors,0.12273754,0.6664127205128967,0.5801963563815824
2026-06-08,TYL,Information Technology,Application Software,0.1213073,0.37162260062330726,-0.12193992707911339
2026-06-08,BSX,Health Care,Health Care Equipment,0.120231666,0.4794074215937386,-0.2895274212368728
2026-06-08,FIS,Financials,Transaction & Payment Processing Services,0.1178279,0.3716019908202062,-0.19717737841405225
2026-06-08,ZTS,Health Care,Pharmaceuticals,0.113380834,0.540644992239318,-0.31445720250521914
2026-06-08,IBKR,Financials,Investment Banking & Brokerage,0.10524232,0.3945812620738385,0.305426820152489
2026-06-08,APA,Energy,Oil & Gas Exploration & Production,0.10179555,0.5125548162877945,0.12754491017964065
2026-06-08,DOC,Real Estate,Health Care REITs,0.10037482,0.4333481511827215,0.18934376881396742
2026-06-08,IT,Information Technology,IT Consulting & Other Services,0.10002064,0.49528330209141364,-0.002365758754863778
2026-06-08,ORCL,Information Technology,Application Software,0.09914133,0.6427441568806874,0.33583501513622593
2026-06-08,CSGP,Real Estate,Real Estate Services,0.09878988,0.36252004775172253,-0.23031700288184442
2026-06-08,VRT,Industrials,Electrical Components & Equipment,0.09804621,0.5913685076664638,0.1329941586583756
2026-06-08,AMAT,Information Technology,Semiconductor Materials & Equipment,0.096951626,0.5568812912979354,0.45973363390976774
2026-06-08,PODD,Health Care,Health Care Equipment,0.09633182,0.5236938675424624,-0.35810782196247837
2026-06-08,PWR,Industrials,Construction & Engineering,0.094917975,0.47172149457217316,0.22438611346316684
2026-06-08,CAT,Industrials,Construction Machinery & Heavy Transportation Equipment,0.09437369,0.4128675252585869,0.3086395034537992
2026-06-08,VST,Utilities,Electric Utilities,0.093006775,0.49641846031485126,-0.07914864271832489
2026-06-08,TER,Information Technology,Semiconductor Materials & Equipment,0.091868356,0.8329294718737255,0.3069970336764962
2026-06-08,ICE,Financials,Financial Exchanges & Data,0.090951525,0.22360975485468737,-0.12216250395194428
2026-06-08,AKAM,Information Technology,Internet Services & Infrastructure,0.09080476,0.8428240080947133,0.345752749336367
2026-06-08,CNC,Health Care,Managed Health Care,0.08924747,0.4909212981210208,0.881255423777842
2026-06-08,CMI,Industrials,Construction Machinery & Heavy Transportation Equipment,0.089094155,0.40774738815452066,0.2516291193446285
2026-06-08,UAL,Industrials,Passenger Airlines,0.086320534,0.5431671629235725,0.21782865071106494
2026-06-08,ALB,Materials,Specialty Chemicals,0.0862698,0.6105904358920763,-0.08301701971348108
2026-06-08,NKE,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.08529918,0.42385783394153265,-0.19358448340171575
2026-06-08,SBAC,Real Estate,Telecom Tower REITs,0.08497221,0.5216660087922376,0.0971049457177322
2026-06-08,CPAY,Financials,Transaction & Payment Processing Services,0.08426602,0.39817718346105113,0.08540150525595558
2026-06-08,CSCO,Information Technology,Communications Equipment,0.08333795,0.4190171462536475,0.6063389391979301
2026-06-08,ERIE,Financials,Insurance Brokers,0.08329222,0.3596019121788702,-0.07430641821946171
2026-06-08,OXY,Energy,Oil & Gas Exploration & Production,0.082216755,0.38874523041302184,-0.015839041095890405
2026-06-08,DVA,Health Care,Health Care Services,0.0817182,0.5489947713719863,0.2541631293672044
2026-06-08,EFX,Industrials,Research & Consulting Services,0.08140592,0.35626499213611357,-0.07619938380281688
2026-06-08,EQT,Energy,Oil & Gas Exploration & Production,0.08132866,0.27728675511464107,-0.17845509539320603
2026-06-08,BR,Industrials,Data Processing & Outsourced Services,0.08098631,0.2965405361904512,-0.15557508077773363
2026-06-08,SWKS,Information Technology,Semiconductors,0.080855265,0.5904335007633296,0.37657591814361435
2026-06-08,ON,Information Technology,Semiconductors,0.08024669,0.6733628831738427,1.0952422220296385
2026-06-08,BKR,Energy,Oil & Gas Equipment & Services,0.080015145,0.38036256227796117,0.16427289048473948
2026-06-08,GE,Industrials,Aerospace & Defense,0.07980436,0.411807406539781,0.049766971938858706
2026-06-08,HII,Industrials,Aerospace & Defense,0.075955756,0.36563795048117054,-0.2923216664648177
2026-06-08,LII,Industrials,Building Products,0.075550176,0.41015309356868723,0.0693802805177508
2026-06-08,FICO,Information Technology,Application Software,0.07550415,0.5922003625461073,0.10407676272674071
2026-06-08,BRO,Financials,Insurance Brokers,0.075161174,0.32084364567169,-0.14023124814705
